D,L,M,M*L,variant,method,Delta_U,Delta_U_std,Delta_V,Delta_V_std,Delta_h,Delta_h_std
50,64,64,4096,full_unit_dropout,dropout,0.045937605,0.0016043918,0.039965846,0.0014135138,0.06336388,0.0052580815
50,64,64,4096,stochastic_depth,dropout,0.050811462,0.0017987193,0.044343404,0.002236392,0.0696125,0.0093131075
50,64,64,4096,single_source_M,dropout,0.050640404,0.0026880873,0.044322286,0.0028354812,0.07164854,0.010581729
50,64,128,8192,full_unit_dropout,dropout,0.030477202,0.00048633877,0.027039424,0.0004582513,0.037012056,0.0042300755
50,64,128,8192,stochastic_depth,dropout,0.04257039,0.0031992765,0.0388237,0.0037134038,0.060299207,0.018073881
50,64,128,8192,single_source_M,dropout,0.037073515,0.0046248077,0.033352092,0.0048885117,0.05448233,0.014267923
50,64,256,16384,full_unit_dropout,dropout,0.020340681,0.001188468,0.017666224,0.0013467916,0.024742786,0.0029254972
50,64,256,16384,stochastic_depth,dropout,0.029991498,0.0025537373,0.026420694,0.0018928262,0.03944802,0.00602303
50,64,256,16384,single_source_M,dropout,0.023009475,0.0020206517,0.020192856,0.0020591298,0.030201426,0.0063293204
50,64,512,32768,full_unit_dropout,dropout,0.013455205,0.00014622223,0.01177109,0.0001490566,0.016110292,0.0012694892
50,64,512,32768,stochastic_depth,dropout,0.027075868,0.001231223,0.023556445,0.001647205,0.03523229,0.0044355383
50,64,512,32768,single_source_M,dropout,0.016051909,0.0013757962,0.014168208,0.001262294,0.026752329,0.009445031
50,128,64,8192,full_unit_dropout,dropout,0.04314872,0.0026863082,0.04052073,0.003107066,0.0591707,0.012608017
50,128,64,8192,stochastic_depth,dropout,0.045310132,0.0020359117,0.04132539,0.002252881,0.06364463,0.009893705
50,128,64,8192,single_source_M,dropout,0.04941214,0.0042526764,0.04526081,0.0047144527,0.070266716,0.01602894
50,128,128,16384,full_unit_dropout,dropout,0.029296031,0.0018756136,0.025361517,0.0019003053,0.031205082,0.0033447747
50,128,128,16384,stochastic_depth,dropout,0.036817703,0.004347897,0.032611437,0.0046690856,0.05466832,0.022753377
50,128,128,16384,single_source_M,dropout,0.03728325,0.005022597,0.033123188,0.005134664,0.05838135,0.017683169
50,128,256,32768,full_unit_dropout,dropout,0.015056392,0.00069938385,0.0131402435,0.00072369556,0.018399596,0.0025615015
50,128,256,32768,stochastic_depth,dropout,0.02206431,0.0022153237,0.019105425,0.001974593,0.03208403,0.004523986
50,128,256,32768,single_source_M,dropout,0.01833466,0.002723975,0.015995614,0.0025319585,0.023607563,0.004779552
50,128,512,65536,full_unit_dropout,dropout,0.010183699,0.0001381248,0.008712805,6.0966875e-05,0.012011867,0.00067481195
50,128,512,65536,stochastic_depth,dropout,0.020726398,0.001977333,0.017796358,0.0018197129,0.027375367,0.009909362
50,128,512,65536,single_source_M,dropout,0.0138069615,0.0012122219,0.012136609,0.0012481667,0.021795591,0.010195633
50,256,64,16384,full_unit_dropout,dropout,0.028284773,0.0015105233,0.024361577,0.0016148157,0.037370857,0.004947424
50,256,64,16384,stochastic_depth,dropout,0.03126544,0.0017312526,0.027262783,0.0021243303,0.04623384,0.005368902
50,256,64,16384,single_source_M,dropout,0.034665484,0.003267756,0.030476382,0.0031185178,0.04670187,0.00764166
50,256,128,32768,full_unit_dropout,dropout,0.01766194,0.00024315203,0.015449712,0.00027845704,0.021391194,0.002390746
50,256,128,32768,stochastic_depth,dropout,0.021749383,0.0014816553,0.019224115,0.0014596413,0.02742146,0.0057750987
50,256,128,32768,single_source_M,dropout,0.022757461,0.0018194258,0.020182466,0.0018310195,0.03388598,0.007236926
50,256,256,65536,full_unit_dropout,dropout,0.012721306,0.00025484897,0.010923999,0.00028315742,0.013616284,0.0007452175
50,256,256,65536,stochastic_depth,dropout,0.01670121,0.0017097915,0.014058912,0.0013664278,0.02027424,0.006945089
50,256,256,65536,single_source_M,dropout,0.015458247,0.0011712377,0.013287892,0.0010349349,0.02007876,0.005396327
50,256,512,131072,full_unit_dropout,dropout,0.0073423088,0.00016211387,0.0062153917,0.00017671763,0.008984877,0.0004774396
50,256,512,131072,stochastic_depth,dropout,0.014664171,0.0017600879,0.012405142,0.0015612342,0.02359917,0.006904489
50,256,512,131072,single_source_M,dropout,0.011336963,0.0020126374,0.009975251,0.0020247358,0.020329872,0.00864032
50,512,64,32768,full_unit_dropout,dropout,0.0264973133802413,0.0020762322889503,0.022755330055952,0.0023562553968187,0.0292734511196613,0.0082117125787109
50,512,64,32768,stochastic_depth,dropout,0.0277229323983192,0.0020594130884848,0.0239625737071037,0.0022676158559376,0.0349464628845453,0.007023079998986
50,512,64,32768,single_source_M,dropout,0.0341040439903736,0.0028718650220971,0.0305766951292753,0.0031913999851104,0.0488933607935905,0.0097085616968737
50,512,128,65536,full_unit_dropout,dropout,0.017490248568356,0.0023324319023732,0.0153032205998897,0.0027766845167172,0.0212588567286729,0.0045026459634228
50,512,128,65536,stochastic_depth,dropout,0.0193971678614616,0.0019783430066351,0.0169750390574336,0.0023567476414158,0.0226080529391765,0.0042043843377735
50,512,128,65536,single_source_M,dropout,0.0228385645896196,0.003229813012985,0.0200459249317646,0.0033209853643623,0.0312684029340744,0.0090808885979765
50,512,256,131072,full_unit_dropout,dropout,0.0103539865463972,0.0009837328471847,0.0089952395297586,0.0011203899088436,0.0133333820849657,0.0048027761246951
50,512,256,131072,stochastic_depth,dropout,0.0126217510551214,0.0008849158144725,0.0109230365604162,0.0009300264622657,0.0185476595535874,0.0067596633983832
50,512,256,131072,single_source_M,dropout,0.0136679083108901,0.0013647749143958,0.0118454763665795,0.0013234638746397,0.0186252424493432,0.0068447296839426
50,512,512,262144,full_unit_dropout,dropout,0.0072952979244291,0.0006772680899939,0.0066487211734056,0.0008185642791461,0.01054895427078,0.0021123424253628
50,512,512,262144,stochastic_depth,dropout,0.0116937963292002,0.0008514617111914,0.0101630348712205,0.0007934177711042,0.0165446842089295,0.005948719236685
50,512,512,262144,single_source_M,dropout,0.0122376592829823,0.0012908271630237,0.0116393368691205,0.0013963159913902,0.0249293748289346,0.0069923706530653
50,16,16,256,full_unit_dropout,dropout,0.2256579577922821,0.0274738008858157,0.2285157859325409,0.0179075033018544,0.3865362763404846,0.0697073384370232
50,16,16,256,stochastic_depth,dropout,0.2285074979066848,0.020831332095448,0.22589151263237,0.0219535272151587,0.4067302048206329,0.0527042695438432
50,16,16,256,single_source_M,dropout,0.2297013401985168,0.0156256488276489,0.2226527452468872,0.010928115954544,0.4000736713409424,0.0390063737241258
50,16,32,512,full_unit_dropout,dropout,0.1356784641742706,0.0022176492752117,0.1299315378069877,0.0092735735354087,0.2082727015018463,0.0258154160147398
50,16,32,512,stochastic_depth,dropout,0.151009452342987,0.0096582550742444,0.1417793825268745,0.0157778608374202,0.2834448099136352,0.0360309333357168
50,16,32,512,single_source_M,dropout,0.1421097457408905,0.0044773929883474,0.133901172876358,0.0090948613104608,0.2262522518634796,0.0222088804651615
50,16,64,1024,full_unit_dropout,dropout,0.0791512459516525,0.0008179726465104,0.0698998644948005,0.0013561504035989,0.0990558549761772,0.0037436082188002
50,16,64,1024,stochastic_depth,dropout,0.097540633380413,0.0057848031944435,0.0902191787958145,0.006557814717577,0.1394002705812454,0.012794839314219
50,16,64,1024,single_source_M,dropout,0.084779055416584,0.0025654129444841,0.0753099426627159,0.0032021401173693,0.1106201171875,0.0062783374017465
50,16,128,2048,full_unit_dropout,dropout,0.0516120299696922,0.0019954572043674,0.044311237335205,0.0015464949085539,0.0577095665037632,0.0034042157654403
50,16,128,2048,stochastic_depth,dropout,0.0701214715838432,0.0061953335278006,0.0613481156527996,0.0070124389346932,0.0929282128810882,0.0125480796046489
50,16,128,2048,single_source_M,dropout,0.0541418612003326,0.0027402648752322,0.0464161641895771,0.0023395219966314,0.065929764509201,0.0083253429677111
50,16,256,4096,full_unit_dropout,dropout,0.0362884543836116,0.0007717199074957,0.0313887730240821,0.0007922427478666,0.0430008620023727,0.0031700868383311
50,16,256,4096,stochastic_depth,dropout,0.0538488514721393,0.0034474179912116,0.0499437436461448,0.0048091616835917,0.0767804354429245,0.010146671604939
50,16,256,4096,single_source_M,dropout,0.0382678128778934,0.0021856312921179,0.0333924479782581,0.0020854779751913,0.0477567389607429,0.0041381492623566
50,16,512,8192,full_unit_dropout,dropout,0.0257586739957332,0.0007780335572752,0.0222051676362752,0.0006828443954371,0.0303593654185533,0.00234214509343
50,16,512,8192,stochastic_depth,dropout,0.0643154516816139,0.0092956549268508,0.0600609026849269,0.010005557476734,0.097798665612936,0.0244065238314352
50,16,512,8192,single_source_M,dropout,0.0270018104463815,0.0010764099276628,0.0233381886035203,0.0008922930264664,0.0364046528935432,0.0080972359480035
50,32,16,512,full_unit_dropout,dropout,0.2182648032903671,0.0206930403063865,0.2024370163679122,0.021250676251319,0.3864823997020721,0.0816641344959129
50,32,16,512,stochastic_depth,dropout,0.2236190170049667,0.0197504147979382,0.207430413365364,0.0189695794764005,0.4146010637283325,0.0732513473591762
50,32,16,512,single_source_M,dropout,0.2178124517202377,0.0245502635701208,0.2055740088224411,0.0238940468284485,0.3747240900993347,0.0883962911109799
50,32,32,1024,full_unit_dropout,dropout,0.1011188670992851,0.0066997230370968,0.0940382018685341,0.0082547250725066,0.1672867566347122,0.0325197836722908
50,32,32,1024,stochastic_depth,dropout,0.1068943873047828,0.0066128214672807,0.0997298181056976,0.0083642293293864,0.188421431183815,0.0390341618671399
50,32,32,1024,single_source_M,dropout,0.1035030663013458,0.0038240681149731,0.0958214819431304,0.0049789999642674,0.1695519268512725,0.0292644500295052
50,32,64,2048,full_unit_dropout,dropout,0.0541882470250129,0.0014067588556175,0.0465830281376838,0.0008261860979598,0.0647798702120781,0.0031278165925106
50,32,64,2048,stochastic_depth,dropout,0.059573995321989,0.0027159145723608,0.0510815866291523,0.0019983883640337,0.0786747381091117,0.0047445286951373
50,32,64,2048,single_source_M,dropout,0.056855396926403,0.0026217718923499,0.0494423560798168,0.0023323783133777,0.0699984192848205,0.0077341366034622
50,32,128,4096,full_unit_dropout,dropout,0.038599807024002,0.0013021840465923,0.0332856461405754,0.0008633566536176,0.0468037381768226,0.0003597620477582
50,32,128,4096,stochastic_depth,dropout,0.0538817845284938,0.0050024554725657,0.0479661926627159,0.0058811683915048,0.0828481063246727,0.0282579242079039
50,32,128,4096,single_source_M,dropout,0.0414658650755882,0.0027463394847805,0.0358185604214668,0.0025204000961263,0.052408617734909,0.0089835388534495
50,32,256,8192,full_unit_dropout,dropout,0.0269474677741527,0.0006840344140875,0.0230579949915409,0.0005956294670546,0.0340162795037031,0.0027984401604789
50,32,256,8192,stochastic_depth,dropout,0.0468729071319103,0.0076406544210708,0.0428195901215076,0.0074937187220861,0.0704465597867965,0.023417147763925
50,32,256,8192,single_source_M,dropout,0.0295878674834966,0.0019526900227656,0.025570173561573,0.0017785898208338,0.0368573255836963,0.0039148823683465
50,32,512,16384,full_unit_dropout,dropout,0.0186265084892511,0.0004346302147215,0.0161329353228211,0.0003781420647207,0.0222933460026979,0.0016135696114983
50,32,512,16384,stochastic_depth,dropout,0.0411732442677021,0.0053735140286507,0.0364652212709188,0.0052412084444403,0.0560803767293691,0.0147201808989604
50,32,512,16384,single_source_M,dropout,0.0200598992407321,0.0007098800590153,0.0176260367035865,0.0007592247850332,0.0280223585665225,0.0050048527440763
50,64,16,1024,full_unit_dropout,dropout,0.1262707367539405,0.0084287996317211,0.1127533927559852,0.0063978096705983,0.1868032664060592,0.0481951684260007
