D,L,M,M*L,variant,method,Delta_U,Delta_U_std,Delta_V,Delta_V_std,Delta_h,Delta_h_std
50,8,8,64,full_unit_dropout,dropout,0.33003705739974976,0.04846956936361447,0.29529797633488974,0.02817961461648073,1.9712385257085165,0.5520765703111784
50,8,8,64,stochastic_depth,dropout,0.3287765840689341,0.04052373195805585,0.29268654187520343,0.02591701288041876,1.8252111991246542,0.5505771007876898
50,8,8,64,single_source_M,dropout,0.34143427610397337,0.04142371848128212,0.29912725687026975,0.030417744441032443,1.852991247177124,0.6985297604433708
50,8,16,128,full_unit_dropout,dropout,0.13625727593898773,0.0057343998393730175,0.11703752477963765,0.005493634663465209,0.45606956680615746,0.05863805938371356
50,8,16,128,stochastic_depth,dropout,0.14028299351533255,0.004224584531573492,0.12268099685509999,0.003981982998445194,0.4769332349300385,0.0596319602589526
50,8,16,128,single_source_M,dropout,0.14255296885967256,0.009793299693583179,0.12404698679844538,0.006577874430283003,0.47435252865155536,0.07249487370067066
50,8,32,256,full_unit_dropout,dropout,0.09247262924909591,0.002661236422983338,0.07700441728035609,0.0024282034844511765,0.2618208408355713,0.029216557014211053
50,8,32,256,stochastic_depth,dropout,0.0935370663801829,0.004538373683750637,0.07914870828390122,0.004045297438963449,0.27101622422536215,0.03285801543374582
50,8,32,256,single_source_M,dropout,0.09289576510588328,0.0038362932971418504,0.07857074737548828,0.003156405712668904,0.2535872906446457,0.023303880923431764
50,8,64,512,full_unit_dropout,dropout,0.06298561145861943,0.00175645468073154,0.052955594410498935,0.0019166580096422316,0.17134835322697958,0.015046184840376186
50,8,64,512,stochastic_depth,dropout,0.06697557841738065,0.0048323458473802814,0.05831352670987447,0.005309346703464822,0.18930713733037313,0.022239420576009715
50,8,64,512,single_source_M,dropout,0.06406445205211639,0.002140988023154098,0.05445762202143669,0.0021522843688951735,0.17021749019622803,0.008311086110072176
50,8,128,1024,full_unit_dropout,dropout,0.04467082271973292,0.0015982869253783223,0.03917141581575076,0.0015583150667435978,0.1303089569012324,0.007165121303573917
50,8,128,1024,stochastic_depth,dropout,0.05158271392186483,0.004898775415280252,0.0465939037501812,0.005449631649405931,0.15012587408224742,0.021821663713871488
50,8,128,1024,single_source_M,dropout,0.04468036194642385,0.001333147741944711,0.03932620659470558,0.0012685751435185077,0.1252748429775238,0.012539192539442068
50,8,256,2048,full_unit_dropout,dropout,0.03078539917866389,0.0007173151874365453,0.026898692920804025,0.0007280612265702849,0.09025739928086599,0.006254095049215851
50,8,256,2048,stochastic_depth,dropout,0.03591967026392619,0.0029213013167724657,0.03189164871970813,0.003002828626729973,0.1060555120309194,0.014287230422262024
50,8,256,2048,single_source_M,dropout,0.03086352956791719,0.0007567596680037442,0.026955434679985048,0.000746381007406045,0.08998745232820511,0.009370677438625801
50,8,512,4096,full_unit_dropout,dropout,0.02028804359336694,0.0003621322166331562,0.017666487644116085,0.0004054818617386453,0.05953050752480825,0.0038055919992468004
50,8,512,4096,stochastic_depth,dropout,0.025400439028938612,0.0016360225332388181,0.02262103942533334,0.001715883521434761,0.07711887806653976,0.014477445232023631
50,8,512,4096,single_source_M,dropout,0.020297866314649582,0.00029063327988256596,0.017629572376608848,0.00031904240575488397,0.059058133016029996,0.003342566550942986
50,16,8,128,full_unit_dropout,dropout,0.2356590747833252,0.0320858902795034,0.20090505878130596,0.03189807789863168,1.215551789601644,0.4860049604787246
50,16,8,128,stochastic_depth,dropout,0.2317325045665105,0.033402740594177395,0.2003677596648534,0.03025927495897557,1.157301870981852,0.45056976435032653
50,16,8,128,single_source_M,dropout,0.2394553522268931,0.04213943370318469,0.20685580670833587,0.03559373326382695,1.2631860693295798,0.6057401741446506
50,16,16,256,full_unit_dropout,dropout,0.12436849425236383,0.013969251438497376,0.1139589712023735,0.010502113978086317,0.4082189758618673,0.07276990341173219
50,16,16,256,stochastic_depth,dropout,0.12528840402762095,0.012593687674738337,0.11510495444138845,0.009260682326980772,0.40986188848813376,0.07198698243251922
50,16,16,256,single_source_M,dropout,0.12746981432040533,0.014233702826633901,0.11843774517377217,0.012332299015861983,0.40509796341260274,0.08112837876087634
50,16,32,512,full_unit_dropout,dropout,0.07628224194049835,0.0031361231022434557,0.06644189606110255,0.0035542159909240116,0.22686660091082256,0.0332345751233861
50,16,32,512,stochastic_depth,dropout,0.07702781756718953,0.003147741189246812,0.06728459795316061,0.003327018216475449,0.2320697486400604,0.03126512064068825
50,16,32,512,single_source_M,dropout,0.07861256500085195,0.003320225610692543,0.0691288655002912,0.003143441396636179,0.233774862686793,0.0355664743928948
50,16,64,1024,full_unit_dropout,dropout,0.04729188183943431,0.0015537717324136428,0.04154152398308118,0.001664147665317365,0.13646395603815714,0.009333943167743913
50,16,64,1024,stochastic_depth,dropout,0.04939429461956024,0.0026448201044096454,0.04373093595107396,0.0026390094639243324,0.14873535931110382,0.021197547258366926
50,16,64,1024,single_source_M,dropout,0.04881534452239673,0.002427953953841456,0.04324846764405568,0.002472383385421134,0.14299693355957668,0.013841073700797004
50,16,128,2048,full_unit_dropout,dropout,0.03195331729948521,0.0007969104111770605,0.027138695990045866,0.0008344042100703378,0.08352216382821401,0.006170031186408832
50,16,128,2048,stochastic_depth,dropout,0.03509344235062599,0.002172123865643815,0.029896138235926628,0.002132543352866002,0.09555651992559433,0.01496823947997868
50,16,128,2048,single_source_M,dropout,0.032759108642737074,0.000981790206579483,0.027796231334408124,0.000865335523319457,0.08740423619747162,0.006599371860888118
50,16,256,4096,full_unit_dropout,dropout,0.02206794631977876,0.0004949182653533733,0.018911808108290035,0.0005022324279335921,0.05960250894228617,0.004595843908108146
50,16,256,4096,stochastic_depth,dropout,0.024870263288418452,0.0016774414636553181,0.021542948732773463,0.0015053325495602654,0.06830791334311168,0.007974818273031056
50,16,256,4096,single_source_M,dropout,0.022153979539871214,0.000498618272101488,0.019068200141191483,0.000566533595694126,0.0587453618645668,0.003666731822597647
50,16,512,8192,full_unit_dropout,dropout,0.015806384012103082,0.00018080680888152374,0.013583370732764404,0.0001964165512540514,0.042089905589818954,0.0020818527309588116
50,16,512,8192,stochastic_depth,dropout,0.020307731380065284,0.0018445944770190516,0.01771427517135938,0.001913836150344563,0.05496376678347588,0.00982929295024614
50,16,512,8192,single_source_M,dropout,0.015852620949347813,0.0003144695152083566,0.013603789856036504,0.00032052792697406514,0.04194949741164843,0.0036388390973041427
50,32,8,256,full_unit_dropout,dropout,0.2555108219385147,0.05393440800051904,0.1917181005080541,0.034415385761077125,1.2943193078041078,0.7433377205696127
50,32,8,256,stochastic_depth,dropout,0.27336048185825346,0.06993384033937029,0.20918435553709666,0.04965523656235672,1.4741143465042115,0.8384589247702007
50,32,8,256,single_source_M,dropout,0.26340982019901277,0.056707641741457135,0.20098123649756114,0.03223996954109148,1.3711562156677246,0.8283961225368816
50,32,16,512,full_unit_dropout,dropout,0.11457634170850119,0.007242935124406421,0.10639218737681706,0.009342980667836669,0.3635890483856201,0.07166913391986718
50,32,16,512,stochastic_depth,dropout,0.11713670939207077,0.00639308028995552,0.10927427510420482,0.008147735598265803,0.38136015137036644,0.08167506816294723
50,32,16,512,single_source_M,dropout,0.11784384399652481,0.008492914015297297,0.11109425127506256,0.011310650524627805,0.3869537840286891,0.09039665994048887
50,32,32,1024,full_unit_dropout,dropout,0.05921317860484123,0.0036975382965709776,0.05346037025252978,0.005141443105967154,0.20470166802406312,0.050589391936127645
50,32,32,1024,stochastic_depth,dropout,0.059593491007884344,0.0044358928451107725,0.053971331814924875,0.00622876861177042,0.20914874573548634,0.057990008258060805
50,32,32,1024,single_source_M,dropout,0.060305698215961455,0.003749875179025212,0.05471270779768626,0.004914115166686725,0.20818678736686708,0.05238773510730248
50,32,64,2048,full_unit_dropout,dropout,0.034164499243100485,0.0012838424896866269,0.029028319319089255,0.0014109529640510489,0.09202715506156285,0.012067639930480899
50,32,64,2048,stochastic_depth,dropout,0.035006458312273024,0.0020558656775711715,0.029931965470314025,0.0021127034064859773,0.09830881357192993,0.016053832123808398
50,32,64,2048,single_source_M,dropout,0.03467028091351191,0.0012182540212573674,0.029681245610117913,0.0012161129175281055,0.09409150183200836,0.012876159800492365
50,32,128,4096,full_unit_dropout,dropout,0.02384891447921594,0.0008509030421029909,0.020601371799906096,0.0009268110061783282,0.07121809894839923,0.00960416028879934
50,32,128,4096,stochastic_depth,dropout,0.02540442111591498,0.0012810682484366346,0.021973992759982745,0.0013793253769905057,0.07893584395448366,0.01322534819764936
50,32,128,4096,single_source_M,dropout,0.023960387085874876,0.0006393658217054692,0.0205919881661733,0.0006960678554734536,0.06884805808464686,0.0072875127368370275
50,32,256,8192,full_unit_dropout,dropout,0.016508143146832785,0.0003343252747914621,0.014097190772493681,0.00035182679805549134,0.04257569735248883,0.0035982793173515827
50,32,256,8192,stochastic_depth,dropout,0.02012901765604814,0.001520046568293305,0.0175593754897515,0.0014928698545406437,0.05542515938480695,0.008529314379496316
50,32,256,8192,single_source_M,dropout,0.01692442943652471,0.00032350698615752244,0.014530922224124273,0.00031969901204099256,0.045208649585644405,0.0024870559382924574
50,32,512,16384,full_unit_dropout,dropout,0.011220523404578369,0.00024077470496086637,0.009663521436353524,0.00024238819461748677,0.029866994793216386,0.00178821251674488
50,32,512,16384,stochastic_depth,dropout,0.013907699473202228,0.0010360246245113584,0.012049102410674094,0.000979323084455621,0.038495310892661415,0.005260317479668877
50,32,512,16384,single_source_M,dropout,0.011399653802315394,0.00024795822897883833,0.009832169736425082,0.00023698788277165387,0.031403359646598496,0.002401529244440066
50,64,8,512,full_unit_dropout,dropout,0.17551122705141703,0.0337061550171939,0.15637460301319758,0.032485972084742645,0.8882575988769531,0.3785796174935739
50,64,8,512,stochastic_depth,dropout,0.17225670516490937,0.027224224350641722,0.15642137924830118,0.030447778087355982,0.8469595472017925,0.2814268786460589
50,64,8,512,single_source_M,dropout,0.18051303525765736,0.035494509309548214,0.16056031982103983,0.02883244775454649,0.9716927250226338,0.46603269532714275
50,64,16,1024,full_unit_dropout,dropout,0.07298975636561712,0.004134501860998082,0.06363553578654925,0.004207590499580049,0.22346928517023723,0.056305418930556274
50,64,16,1024,stochastic_depth,dropout,0.07259945074717204,0.004452675199698955,0.06327983861168225,0.00473524871067145,0.2228253851334254,0.05366496664775813
50,64,16,1024,single_source_M,dropout,0.07531297057867051,0.005718215040925335,0.0667562519510587,0.005934043072744369,0.23076646129290262,0.06337966253472331
50,64,32,2048,full_unit_dropout,dropout,0.048235894491275154,0.002817135104701618,0.04221056451400121,0.0029536779132075656,0.1476848473151525,0.04240524439376763
50,64,32,2048,stochastic_depth,dropout,0.047158719847599666,0.002387680441279324,0.041641935954491296,0.002772508264248257,0.1384305144349734,0.0417397370769351
50,64,32,2048,single_source_M,dropout,0.04862542549769084,0.0022112242156204333,0.042893864959478376,0.0024484029607595302,0.1474852735797564,0.03687307329620525
50,64,64,4096,full_unit_dropout,dropout,0.0286312360316515,0.0008167726369379927,0.024296681955456735,0.000727101813552103,0.07419884900252025,0.007229742385359724
50,64,64,4096,stochastic_depth,dropout,0.02918187193572521,0.0011030218164913164,0.024768288681904473,0.0009834645735901381,0.07669426848491033,0.008523510597969288
50,64,64,4096,single_source_M,dropout,0.02930865262945493,0.0008668727383247777,0.025008694579203922,0.0009310359937305199,0.07803219904502233,0.0071883915599339245
50,64,128,8192,full_unit_dropout,dropout,0.018527174492677052,0.0004984657933877068,0.016228946795066198,0.00044531513708666423,0.04906637345751127,0.0060547706253258745
50,64,128,8192,stochastic_depth,dropout,0.02055356775720914,0.0011876834031731202,0.01819523548086484,0.0011441282554404896,0.06033938725789388,0.009758939067923123
50,64,128,8192,single_source_M,dropout,0.019382582604885103,0.0007113860426699902,0.01714981471498807,0.00078262149073783,0.055212836960951486,0.006262544026898266
50,64,256,16384,full_unit_dropout,dropout,0.012517956892649333,0.0004860494211147958,0.010826364532113076,0.000523330098773997,0.03488557847837607,0.003215446264452432
50,64,256,16384,stochastic_depth,dropout,0.014278245717287063,0.0006353740067811226,0.012380807163814704,0.0006330235457753026,0.03920035809278488,0.004910600151801183
50,64,256,16384,single_source_M,dropout,0.012723949179053307,0.00043229042008813756,0.011011371202766896,0.0004560230373316231,0.03423492684960365,0.0034407747190325034
50,64,512,32768,full_unit_dropout,dropout,0.008138180524110795,0.00015874500375663336,0.007104313466697931,0.00016299411365724477,0.023157205805182456,0.0021362621301815716
50,64,512,32768,stochastic_depth,dropout,0.009969387575984002,0.0005976702962199887,0.008768747684856255,0.0005767040298197614,0.028394264355301856,0.0038569673618137203
50,64,512,32768,single_source_M,dropout,0.00841817855834961,0.00024385409390978335,0.007375801168382168,0.00024314588478612688,0.025793507446845373,0.002774449079903413
50,128,8,1024,full_unit_dropout,dropout,0.23420574863751728,0.02666929137511886,0.21739796896775562,0.024827409788227287,1.0100034157435098,0.48024992767890223
50,128,8,1024,stochastic_depth,dropout,0.23506590823332468,0.028931240964911106,0.22008639574050903,0.026509100884699377,1.0641241431236268,0.5389499111512278
50,128,8,1024,single_source_M,dropout,0.2313486307859421,0.026772180151331027,0.21486394703388215,0.025152630351457938,1.030964239438375,0.4896934926169563
50,128,16,2048,full_unit_dropout,dropout,0.0872125655412674,0.007730102205094219,0.08530264149109522,0.005810854677288499,0.23896113634109498,0.0733024614190284
50,128,16,2048,stochastic_depth,dropout,0.08645949910084406,0.00713494070171957,0.08461226423581442,0.005729399005191033,0.24519509474436443,0.07266099599007302
50,128,16,2048,single_source_M,dropout,0.08918846597274145,0.00887946815601105,0.08761339336633682,0.008074661262548787,0.25182095170021057,0.07803188578686807
50,128,32,4096,full_unit_dropout,dropout,0.04826029663284619,0.0038572823187934093,0.04208126987020175,0.003222517285169419,0.13258732557296754,0.026421669596430067
50,128,32,4096,stochastic_depth,dropout,0.047950528313716254,0.0037910366445002286,0.04191132361690204,0.003016404461440674,0.13274017572402955,0.02837981058174019
50,128,32,4096,single_source_M,dropout,0.04879706328113874,0.004170043252754271,0.04278872658809026,0.003543957183294171,0.13681800564130148,0.026163734702075222
50,128,64,8192,full_unit_dropout,dropout,0.026340968906879425,0.0011948457243093696,0.022994757692019144,0.001436828436184963,0.07703644012411436,0.018621322050907805
50,128,64,8192,stochastic_depth,dropout,0.026435316974918046,0.0012939886264157587,0.022921332096060117,0.001370389649770399,0.0779527892669042,0.018506400270163544
50,128,64,8192,single_source_M,dropout,0.026810033122698466,0.0013327697204117584,0.023352451995015143,0.0015436204694506087,0.07602062200506528,0.01911384184348443
50,128,128,16384,full_unit_dropout,dropout,0.017413407129546008,0.0016387892704895748,0.014983815637727578,0.0017172479353615507,0.04611058880885442,0.01112227442886649
50,128,128,16384,stochastic_depth,dropout,0.018272746975223225,0.001760628867933245,0.0158076295008262,0.0017403086970629992,0.049218818296988806,0.011373626918596147
50,128,128,16384,single_source_M,dropout,0.018405165150761606,0.002009192582818379,0.01596277616918087,0.0019974345889718984,0.05135930255055428,0.011402992111128957
50,128,256,32768,full_unit_dropout,dropout,0.009250594427188237,0.00034169956777658995,0.007955200597643852,0.000346623434166601,0.025500895703832308,0.002614757239687882
50,128,256,32768,stochastic_depth,dropout,0.010207001554469268,0.0005117232074147475,0.00876012872904539,0.0004873032559241969,0.02810825382669767,0.003126612423631426
50,128,256,32768,single_source_M,dropout,0.009563852287828922,0.0004536353013145862,0.00823377858226498,0.0004501984017284404,0.02546186149120331,0.0026692933769504696
50,128,512,65536,full_unit_dropout,dropout,0.0060989667971928915,0.00014658778153670883,0.005232428448895613,0.00015731536756052433,0.01609154132505258,0.0017773696572460876
50,128,512,65536,stochastic_depth,dropout,0.007786715185890595,0.0004833185697945548,0.006749831574658553,0.00044324124198960775,0.021090722270309926,0.004536339449408181
50,128,512,65536,single_source_M,dropout,0.006429342397799094,0.00019866906248450686,0.0055488716500500836,0.00018671958998488927,0.018038099880019823,0.002444336387500583
50,256,8,2048,full_unit_dropout,dropout,0.17934889594713846,0.042746664484826266,0.16331920226414998,0.04704272625008242,1.051286554336548,0.469383754299374
50,256,8,2048,stochastic_depth,dropout,0.1755581259727478,0.04153143134400477,0.15869835515817007,0.04640613692528038,1.0241166035334268,0.4508266119215358
50,256,8,2048,single_source_M,dropout,0.17607916990915934,0.04798651836451863,0.159298841158549,0.05061228187253588,1.0123152097066244,0.5087896811361942
50,256,16,4096,full_unit_dropout,dropout,0.09184952626625696,0.007186687549482136,0.08515438238779703,0.006717452635028407,0.2526501069466273,0.07938634524079399
50,256,16,4096,stochastic_depth,dropout,0.0907404288649559,0.007410778003009248,0.08387250254551569,0.0068540805535526675,0.2508102496465047,0.08156602679838448
50,256,16,4096,single_source_M,dropout,0.09316281427939734,0.008539921262397573,0.08639732946952185,0.008760908214989708,0.2695817788441976,0.08645813481984209
50,256,32,8192,full_unit_dropout,dropout,0.033022619783878326,0.002315308194489283,0.027786669507622718,0.0020907830367836214,0.08201517164707184,0.025493444604368167
50,256,32,8192,stochastic_depth,dropout,0.03271166086196899,0.002006968569744089,0.027395101015766463,0.001722133790930492,0.08282786309719085,0.020783506627615873
50,256,32,8192,single_source_M,dropout,0.03485323724647363,0.002925523920839349,0.02969407240549723,0.0025723305784814848,0.09128377834955852,0.02464065089462955
50,256,64,16384,full_unit_dropout,dropout,0.01766707797845205,0.0014649087247777563,0.015205971399943034,0.0015748068267214532,0.05387824922800064,0.02122209985241678
50,256,64,16384,stochastic_depth,dropout,0.017734764640529952,0.0015271808053984543,0.015224465106924375,0.0016525722218936761,0.0544356644153595,0.021483805818864735
50,256,64,16384,single_source_M,dropout,0.018512358143925666,0.0017678343628407711,0.016021386782328288,0.0018125754317442667,0.057343163837989174,0.02159904027841684
50,256,128,32768,full_unit_dropout,dropout,0.011640363372862339,0.000639271970719936,0.010106029423574607,0.0007154243881264368,0.03343927673995495,0.008971606919794307
50,256,128,32768,stochastic_depth,dropout,0.011959317947427432,0.0004512407246884242,0.010368369271357853,0.0005246449918380118,0.033587030693888666,0.00746896919042254
50,256,128,32768,single_source_M,dropout,0.012322250256935756,0.0005497936468021502,0.010714700942238172,0.0006089591549201194,0.03715232834219932,0.0074524632268375985
50,256,256,65536,full_unit_dropout,dropout,0.007544839506347974,0.000279548618002503,0.006392194610089064,0.0002768413480263679,0.020051986972490946,0.0023807420975138407
50,256,256,65536,stochastic_depth,dropout,0.008097553625702858,0.0002880410107211966,0.00687170069043835,0.00029224158029157515,0.021400209640463193,0.0025428587058515385
50,256,256,65536,single_source_M,dropout,0.007999448602398236,0.0003099936485967654,0.006815997821589311,0.0003053891430855562,0.021629095325867334,0.0019515149183472623
50,256,512,131072,full_unit_dropout,dropout,0.004304862581193447,8.019799315006253e-05,0.0036328580851356187,7.950455397099797e-05,0.011201600916683674,0.0012409358635626464
50,256,512,131072,stochastic_depth,dropout,0.005045250772188107,0.0003333036804450436,0.004264974066366752,0.00029948547866480955,0.013676934440930684,0.0023455323777015124
50,256,512,131072,single_source_M,dropout,0.004644346516579389,0.00020011753425690926,0.003938756122564276,0.00018677742158589204,0.013289226591587067,0.0018106837372073893
50,512,8,4096,full_unit_dropout,dropout,0.27062487999598184,0.025748610433456044,0.267657678325971,0.021194040399242844,1.0497753898302713,0.45794098526011023
50,512,8,4096,stochastic_depth,dropout,0.2725159426530202,0.023479415615361737,0.27460634311040244,0.025104753091078832,1.077738070487976,0.4308286117279535
50,512,8,4096,single_source_M,dropout,0.26941101749738056,0.02818849255852695,0.2705222109953562,0.028641120101631414,1.0227917790412904,0.3132977446867976
50,512,16,8192,full_unit_dropout,dropout,0.07858706911404928,0.006800734534946013,0.06589409659306208,0.006783103697779795,0.3167523841063182,0.11553571511882872
50,512,16,8192,stochastic_depth,dropout,0.07811955908934275,0.007331549943399552,0.06508099560936292,0.00711608744770503,0.3127814163764318,0.12373089311508365
50,512,16,8192,single_source_M,dropout,0.0800347367922465,0.007073902288913163,0.06715496182441712,0.0074651964922741905,0.32639192839463554,0.11771722409962222
50,512,32,16384,full_unit_dropout,dropout,0.03723140334089597,0.001782248589934484,0.030950254822770754,0.002132243895355732,0.0951746016740799,0.019935837649994858
50,512,32,16384,stochastic_depth,dropout,0.03700265387694041,0.0016928368776710518,0.030475438510378202,0.0019862722033966392,0.09456155747175217,0.019685304845057178
50,512,32,16384,single_source_M,dropout,0.03781616638104121,0.0017560986049343615,0.03149312138557434,0.0021034254654559346,0.09832286536693573,0.017775543981127684
50,512,64,32768,full_unit_dropout,dropout,0.01598193167398373,0.00142320262903629,0.013802259353299935,0.0015611910278954385,0.03812135507663091,0.011099937520141831
50,512,64,32768,stochastic_depth,dropout,0.016006276818613212,0.0015388613664001037,0.01375487210849921,0.001665993442200749,0.03914624477426211,0.012807188065612608
50,512,64,32768,single_source_M,dropout,0.0166750385115544,0.0014513855260882016,0.014452738625307878,0.0016114421917428304,0.04337182727952798,0.010851885504389317
50,512,128,65536,full_unit_dropout,dropout,0.01053728840003411,0.0011974291202182484,0.008890178737541039,0.0012385412235074481,0.023705391958355904,0.00544559314057376
50,512,128,65536,stochastic_depth,dropout,0.010564415281017621,0.0010249735870478695,0.008886131706337135,0.001069649206863294,0.023944975187381107,0.005661004600324963
50,512,128,65536,single_source_M,dropout,0.011268378607928753,0.0012437789019283296,0.009577714030941327,0.0012755870039438397,0.028536584973335267,0.007985648938195701
50,512,256,131072,full_unit_dropout,dropout,0.006072989633927743,0.00035273332218414355,0.005173977805922428,0.0003765923786054112,0.015672827077408632,0.004005511481381311
50,512,256,131072,stochastic_depth,dropout,0.006417045338700215,0.0003112292152646143,0.00546211681018273,0.00031039365757668436,0.017231475623945395,0.002870417050556805
50,512,256,131072,single_source_M,dropout,0.0065632092766463755,0.00045181291048764985,0.005624550767242909,0.0004604840792746943,0.017404060624539853,0.003651157760582961
50,512,512,262144,full_unit_dropout,dropout,0.004191419575363398,0.00040463629781849425,0.003748975011209647,0.00043126063938150677,0.012244192945460478,0.0023614236699192478
50,512,512,262144,stochastic_depth,dropout,0.004628721655656894,0.0005691337700486453,0.0041111863994350035,0.000570879885268198,0.013545999675989151,0.003391641179189735
50,512,512,262144,single_source_M,dropout,0.004479872218022744,0.0003127104742219831,0.003997983830049634,0.0003361041051771737,0.0132613950719436,0.002347531237855045
