D,L,M,M*L,variant,method,Delta_U,Delta_U_std,Delta_V,Delta_V_std,Delta_h,Delta_h_std
50,8,8,64,full_unit_dropout,dropout,0.25500897169113157,0.007861344339364437,0.2761452436447144,0.02006930642567616,0.38468514680862426,0.037793055747632955
50,8,8,64,stochastic_depth,dropout,0.26661360263824463,0.007055872416021843,0.28510633707046507,0.017165879601197753,0.4155848264694214,0.029451068343453776
50,8,8,64,single_source_M,dropout,0.2834214329719543,0.009140784492023003,0.2969684064388275,0.00802030896873308,0.37782345414161683,0.023479486117849998
50,8,16,128,full_unit_dropout,dropout,0.17062181532382964,0.0012574671192316306,0.16730749011039733,0.004297372904166359,0.18641923367977142,0.005535958382437328
50,8,16,128,stochastic_depth,dropout,0.1749442607164383,0.0010782652587676973,0.17632753849029542,0.003162887245037092,0.22140320241451264,0.029150854689280897
50,8,16,128,single_source_M,dropout,0.18465200066566467,0.005449536530986349,0.18179689347743988,0.0048155018231082975,0.19562428295612336,0.010167286505218271
50,8,32,256,full_unit_dropout,dropout,0.10929160118103028,0.0031301970594609842,0.09867989271879196,0.0015782687047956807,0.08997452855110169,0.006712063706629578
50,8,32,256,stochastic_depth,dropout,0.11663736253976822,0.004081279960890355,0.10896334797143936,0.003941099639786003,0.11898437887430191,0.015839810298281576
50,8,32,256,single_source_M,dropout,0.11566271036863326,0.002313247340241131,0.10648003220558167,0.003205824020126674,0.0981384500861168,0.012451617485079976
50,8,64,512,full_unit_dropout,dropout,0.07610899209976196,0.0007602994573407755,0.06749432981014251,0.0011932324180085174,0.056039759516716005,0.0047423787108375245
50,8,64,512,stochastic_depth,dropout,0.08653930276632309,0.0020242980538511908,0.07861857563257217,0.0019722532611133096,0.0896241918206215,0.003245315900444987
50,8,64,512,single_source_M,dropout,0.07936176210641861,0.0019179808516460173,0.0708626314997673,0.0017744281629815538,0.06254402697086334,0.0057341522482628905
50,8,128,1024,full_unit_dropout,dropout,0.05323049947619438,0.00040794661700352636,0.046624581515789035,0.00045975552636546354,0.03572745621204376,0.0014228508270605694
50,8,128,1024,stochastic_depth,dropout,0.06532585397362708,0.002713899851969359,0.0593081995844841,0.003061799766890893,0.06755737066268921,0.008388794386490215
50,8,128,1024,single_source_M,dropout,0.054099421948194504,0.000718077331984342,0.04759569615125656,0.0006457574733994335,0.035772773623466494,0.0021232075692884235
50,8,256,2048,full_unit_dropout,dropout,0.036641618609428404,0.00034146203340579837,0.03206130862236023,0.00022723184558631502,0.02313578613102436,0.001301650597615475
50,8,256,2048,stochastic_depth,dropout,0.051628736406564714,0.003665800905451597,0.04766723960638046,0.003818794222493741,0.059134986251592636,0.009696527218521777
50,8,256,2048,single_source_M,dropout,0.037543629109859464,0.00031977586112912396,0.033230433613061904,0.0004511376578800169,0.025369155779480936,0.0019202314443036521
50,8,512,4096,full_unit_dropout,dropout,0.02606416754424572,0.0001728449669116723,0.022861801087856293,0.00019341585407143562,0.01708919033408165,0.0006779821788134466
50,8,512,4096,stochastic_depth,dropout,0.04373294934630394,0.0032694141526639344,0.04063161090016365,0.0036244520153664353,0.0529364787042141,0.007544577034649111
50,8,512,4096,single_source_M,dropout,0.026033215597271918,0.0002784935465563644,0.022880670428276063,0.00033971296169386727,0.016405593790113925,0.0009669185712992544
50,16,8,128,full_unit_dropout,dropout,0.2290897250175476,0.010922526815414632,0.2434066653251648,0.02378707702826001,0.2826468914747238,0.03834734281348878
50,16,8,128,stochastic_depth,dropout,0.23296146988868713,0.009343736302634633,0.25003854334354403,0.023843626151174965,0.3030118763446808,0.039656524630184466
