D,L,M,M*L,variant,method,Delta_U,Delta_U_std,Delta_V,Delta_V_std,Delta_h,Delta_h_std
10,2,2,4,full_unit_dropout,dropout,2.252328,0.13173936,1.3327589,0.14401102,0.7246294,0.1349255
10,2,2,4,stochastic_depth,dropout,2.252328,0.13173936,1.3327589,0.14401102,0.7246294,0.1349255
10,2,2,4,single_source_M,dropout,1.521013,0.14780384,1.1587822,0.11237163,0.9567567,0.03709048
10,4,4,16,full_unit_dropout,dropout,1.7552637,0.066505075,1.1444936,0.13665992,0.49136883,0.054884247
10,4,4,16,stochastic_depth,dropout,1.9314249,0.06864233,1.2506988,0.0853012,0.5949295,0.08331286
10,4,4,16,single_source_M,dropout,1.8680521,0.082786955,1.4870617,0.056131173,0.7350725,0.1278419
10,4,8,32,full_unit_dropout,dropout,1.3946934,0.124428995,1.0282738,0.11963903,0.37086922,0.06311445
10,4,8,32,stochastic_depth,dropout,1.6305478,0.09738567,1.3321015,0.16659358,0.5643506,0.07630516
10,4,8,32,single_source_M,dropout,1.5537264,0.06298276,1.0977333,0.08759793,0.41636539,0.06341505
10,8,4,32,full_unit_dropout,dropout,1.6035134,0.081385314,1.2534136,0.088456735,0.55483115,0.09682043
10,8,4,32,stochastic_depth,dropout,1.6758665,0.14356059,1.2008545,0.12805176,0.52736855,0.0470543
10,8,4,32,single_source_M,dropout,1.7867174,0.15982905,1.2263715,0.13640764,0.7449568,0.20626172
10,8,8,64,full_unit_dropout,dropout,1.2845166,0.09012371,0.8822033,0.07093774,0.3892176,0.07158403
10,8,8,64,stochastic_depth,dropout,1.6098206,0.116008,1.1131375,0.074707694,0.5253601,0.11129654
10,8,8,64,single_source_M,dropout,1.6009461,0.06931658,1.1623967,0.053053964,0.55089945,0.075822294
10,16,8,128,full_unit_dropout,dropout,1.1214788,0.07486455,0.825861,0.07068949,0.3586917,0.058443274
10,16,8,128,stochastic_depth,dropout,1.4240854,0.072654806,0.9961704,0.063264765,0.5548135,0.059931874
10,16,8,128,single_source_M,dropout,1.5401862,0.040623102,1.1627154,0.075691834,0.6719228,0.09940185
10,8,16,128,full_unit_dropout,dropout,0.97581136,0.02644389,0.67818505,0.035092354,0.2702946,0.04539369
10,8,16,128,stochastic_depth,dropout,1.4079463,0.12204953,1.0047661,0.12346267,0.39924222,0.10381417
10,8,16,128,single_source_M,dropout,1.178832,0.065596506,0.8201731,0.032588404,0.31708628,0.040652514
10,16,16,256,full_unit_dropout,dropout,0.8434259,0.016636876,0.63279915,0.04840969,0.23355135,0.040245913
10,16,16,256,stochastic_depth,dropout,1.1891104,0.09026888,0.79659605,0.07230696,0.4081213,0.111567415
10,16,16,256,single_source_M,dropout,1.136088,0.08492581,0.78139246,0.04161265,0.36226588,0.05810931
10,32,16,512,full_unit_dropout,dropout,0.753456,0.030363942,0.61313295,0.07907394,0.20483105,0.017623074
10,32,16,512,stochastic_depth,dropout,1.0060276,0.08453641,0.6942782,0.05153736,0.30077493,0.07229643
10,32,16,512,single_source_M,dropout,1.1325735,0.08921548,0.77862394,0.049091715,0.35028377,0.07901652
10,16,32,512,full_unit_dropout,dropout,0.6753981,0.038630873,0.5035679,0.038227808,0.15808086,0.016671661
10,16,32,512,stochastic_depth,dropout,1.1538038,0.07234825,0.75519174,0.05317886,0.37824556,0.09631482
10,16,32,512,single_source_M,dropout,0.94912946,0.07752529,0.6797568,0.06690392,0.29287535,0.0701344
10,32,32,1024,full_unit_dropout,dropout,0.63523006,0.035406165,0.490458,0.044640537,0.14486572,0.025977569
10,32,32,1024,stochastic_depth,dropout,1.0464386,0.09471723,0.67445934,0.051478148,0.29740542,0.0823105
10,32,32,1024,single_source_M,dropout,1.020706,0.08034514,0.7281407,0.07616872,0.28417784,0.065617144
10,64,32,2048,full_unit_dropout,dropout,0.5640532,0.03834027,0.4429625,0.030832155,0.13304327,0.028425192
10,64,32,2048,stochastic_depth,dropout,0.9510975,0.10350579,0.62449616,0.07367456,0.19288449,0.046918765
10,64,32,2048,single_source_M,dropout,1.0539962,0.056063496,0.75089324,0.07107405,0.2724604,0.06474768
10,32,64,2048,full_unit_dropout,dropout,0.5436643,0.054795593,0.40444383,0.040686313,0.13146815,0.063768
10,32,64,2048,stochastic_depth,dropout,1.08896,0.11578606,0.71274555,0.07107293,0.29379272,0.0763403
10,32,64,2048,single_source_M,dropout,0.8861367,0.063886955,0.62961644,0.05510129,0.19344732,0.04230075
10,64,64,4096,full_unit_dropout,dropout,0.45732442,0.057885736,0.3395813,0.0393968,0.11705921,0.07072423
10,64,64,4096,stochastic_depth,dropout,0.9541303,0.106430046,0.63014233,0.07208849,0.17875876,0.04413136
10,64,64,4096,single_source_M,dropout,0.90126485,0.07010999,0.6367435,0.05994743,0.19238362,0.04099115
10,128,64,8192,full_unit_dropout,dropout,0.36519226,0.049674034,0.2696842,0.032280724,0.096735455,0.043562718
10,128,64,8192,stochastic_depth,dropout,0.8212468,0.096000805,0.54232854,0.061603483,0.20014489,0.04769202
10,128,64,8192,single_source_M,dropout,0.9146411,0.065880716,0.64726466,0.060290255,0.18846993,0.041722257
10,64,128,8192,full_unit_dropout,dropout,0.36545116,0.036790878,0.27096614,0.0276048,0.0900721,0.02613857
10,64,128,8192,stochastic_depth,dropout,0.95083344,0.08447166,0.62645656,0.05981512,0.17355569,0.040164176
10,64,128,8192,single_source_M,dropout,0.7568242,0.05051776,0.55336654,0.036603067,0.15651861,0.03498153
10,128,128,16384,full_unit_dropout,dropout,0.28202906,0.037956476,0.2092696,0.027177157,0.069697246,0.024618233
10,128,128,16384,stochastic_depth,dropout,0.81476134,0.08145562,0.53082216,0.044522334,0.19377185,0.046835747
10,128,128,16384,single_source_M,dropout,0.7571284,0.056976974,0.5522103,0.040306114,0.15202536,0.03178452
10,256,128,32768,full_unit_dropout,dropout,0.21166012,0.022118362,0.15885842,0.015635284,0.05786268,0.017181452
10,256,128,32768,stochastic_depth,dropout,0.69465303,0.07536864,0.45763713,0.03909922,0.16262278,0.030241437
10,256,128,32768,single_source_M,dropout,0.7588786,0.058147814,0.5542955,0.043708768,0.149246,0.029206011
10,128,256,32768,full_unit_dropout,dropout,0.21089391,0.05077929,0.15242288,0.0328537,0.05617421,0.038770236
10,128,256,32768,stochastic_depth,dropout,0.8064572,0.087625004,0.5236432,0.050378773,0.18898946,0.04940335
10,128,256,32768,single_source_M,dropout,0.63422483,0.08958396,0.46911067,0.055213284,0.13220784,0.019945743
10,256,256,65536,full_unit_dropout,dropout,0.15910909,0.044902254,0.11400603,0.027782394,0.045053896,0.031845048
10,256,256,65536,stochastic_depth,dropout,0.6871327,0.078017436,0.45118952,0.041899145,0.15574746,0.028767038
10,256,256,65536,single_source_M,dropout,0.6357639,0.094351284,0.46991587,0.058152705,0.13449056,0.01956394
10,512,256,131072,full_unit_dropout,dropout,0.120660104,0.038428657,0.08656182,0.023893576,0.033468515,0.018500451
10,512,256,131072,stochastic_depth,dropout,0.5978114,0.08098377,0.3945912,0.046175227,0.12825555,0.022539848
10,512,256,131072,single_source_M,dropout,0.64646256,0.0949163,0.47700757,0.057940163,0.13467214,0.019777957
10,256,512,131072,full_unit_dropout,dropout,0.12882826,0.04863163,0.09421303,0.032415096,0.021177184,0.008017404
10,256,512,131072,stochastic_depth,dropout,0.692115,0.08388283,0.4567801,0.0450086,0.15900365,0.02986586
10,256,512,131072,single_source_M,dropout,0.5010356,0.05524644,0.38169298,0.038013835,0.12144347,0.031011695
10,512,512,262144,full_unit_dropout,dropout,0.10134618,0.03778621,0.07527711,0.025666654,0.013999997,0.005438107
10,512,512,262144,stochastic_depth,dropout,0.59865177,0.08334394,0.39604548,0.04620769,0.1299549,0.022716941
10,512,512,262144,single_source_M,dropout,0.5039768,0.055703714,0.3847037,0.038525574,0.12130038,0.030027155
10,1024,512,524288,full_unit_dropout,dropout,0.08114168,0.03051172,0.061520636,0.021055307,0.00960872,0.0025817186
10,1024,512,524288,stochastic_depth,dropout,0.5032411,0.057060372,0.33756626,0.03440597,0.10602448,0.023561057
10,1024,512,524288,single_source_M,dropout,0.503778,0.055069808,0.38448253,0.038828027,0.1208034,0.030502139
10,512,1024,524288,full_unit_dropout,dropout,0.06949287,0.035281952,0.049976416,0.023009144,0.014499036,0.008311037
10,512,1024,524288,stochastic_depth,dropout,0.60567516,0.08805848,0.40001822,0.049559448,0.12929206,0.023153394
10,512,1024,524288,single_source_M,dropout,0.38023028,0.040613435,0.2849852,0.024563603,0.084560886,0.026040606
10,1024,1024,1048576,full_unit_dropout,dropout,0.046778012,0.0142847225,0.03406838,0.0094093615,0.010051081,0.00473419
10,1024,1024,1048576,stochastic_depth,dropout,0.5051249,0.05625965,0.3379617,0.03492918,0.10614543,0.023364134
10,1024,1024,1048576,single_source_M,dropout,0.3831578,0.042191908,0.28715315,0.025487926,0.084120564,0.025879115
10,64,256,16384,full_unit_dropout,dropout,0.27217698,0.05385578,0.1981514,0.037876215,0.070661545,0.040189378
10,64,256,16384,stochastic_depth,dropout,0.93467486,0.088563465,0.60756356,0.057880368,0.17125821,0.041938387
10,64,256,16384,single_source_M,dropout,0.6255671,0.07997048,0.46224087,0.04709705,0.13199438,0.021668317
10,64,512,32768,full_unit_dropout,dropout,0.21618286,0.05265517,0.15677018,0.03417902,0.04507487,0.029400151
10,64,512,32768,stochastic_depth,dropout,0.9344141,0.08874099,0.61176676,0.05721623,0.17130546,0.041554097
10,64,512,32768,single_source_M,dropout,0.48428735,0.053200316,0.36749262,0.039586775,0.12437236,0.040184174
10,64,1024,65536,full_unit_dropout,dropout,0.15649417,0.05024454,0.11141346,0.031649187,0.044591732,0.01626239
10,64,1024,65536,stochastic_depth,dropout,0.92636746,0.08340913,0.6070216,0.057365663,0.16956235,0.040551938
10,64,1024,65536,single_source_M,dropout,0.3591407,0.032375697,0.26791272,0.017393637,0.08765261,0.028662125
10,256,64,16384,full_unit_dropout,dropout,0.27713233,0.041941762,0.20444599,0.028609803,0.06712778,0.025030324
10,256,64,16384,stochastic_depth,dropout,0.69833124,0.08240799,0.46351877,0.050563544,0.16864046,0.034461107
10,256,64,16384,single_source_M,dropout,0.90914804,0.06662988,0.6441361,0.05798145,0.1897656,0.04174391
10,512,64,32768,full_unit_dropout,dropout,0.20638795,0.024997016,0.15252885,0.017363964,0.051558226,0.014513858
10,512,64,32768,stochastic_depth,dropout,0.6021582,0.077911906,0.39946195,0.044086404,0.13484167,0.018324116
