D,L,M,M*L,variant,method,iteration,test_loss_diff,test_loss_diff_std,train_loss_diff,train_loss_diff_std
10,4,4,16,full_unit_dropout,dropout,0,0.0005386472,0.0004421382,0.015288269,0.0075755217
10,4,4,16,full_unit_dropout,dropout,1,0.001073885,0.0007277217,0.025591422,0.015777059
10,4,4,16,full_unit_dropout,dropout,2,0.00066050293,0.00057436636,0.02259785,0.0070883823
10,4,4,16,full_unit_dropout,dropout,3,0.001107645,0.00090693193,0.024452757,0.020443194
10,4,4,16,full_unit_dropout,dropout,4,0.0012810469,0.0007781918,0.021133542,0.013269462
10,4,4,16,full_unit_dropout,dropout,5,0.0021660565,0.0010876624,0.0134540675,0.0033588416
10,4,4,16,full_unit_dropout,dropout,6,0.003031683,0.0013481948,0.029514527,0.025320746
10,4,4,16,full_unit_dropout,dropout,7,0.004262495,0.0010005388,0.017394865,0.012030864
10,4,4,16,full_unit_dropout,dropout,8,0.005292511,0.0013153108,0.053120624,0.011931342
10,4,4,16,full_unit_dropout,dropout,9,0.0060421703,0.0019286091,0.028757859,0.015775207
10,4,4,16,full_unit_dropout,dropout,10,0.006389284,0.002221291,0.038303625,0.02366471
10,4,4,16,full_unit_dropout,dropout,11,0.006293869,0.0020330267,0.053714313,0.032522116
10,4,4,16,full_unit_dropout,dropout,12,0.008714485,0.001500981,0.012839222,0.009474733
10,4,4,16,full_unit_dropout,dropout,13,0.010246456,0.0016734549,0.033901356,0.033839654
10,4,4,16,full_unit_dropout,dropout,14,0.011807012,0.001873494,0.042471208,0.02169916
10,4,4,16,full_unit_dropout,dropout,15,0.013597488,0.0020259009,0.04755255,0.02262172
10,4,4,16,full_unit_dropout,dropout,16,0.016169418,0.0020056346,0.043121576,0.03123853
10,4,4,16,full_unit_dropout,dropout,17,0.018461298,0.0027957838,0.047094785,0.018298026
10,4,4,16,full_unit_dropout,dropout,18,0.020986771,0.0030171683,0.058278464,0.022911843
10,4,4,16,full_unit_dropout,dropout,19,0.023444926,0.0033251983,0.044398464,0.020216992
10,4,4,16,full_unit_dropout,dropout,20,0.026132142,0.004199519,0.044210576,0.028926497
10,4,4,16,full_unit_dropout,dropout,21,0.029494977,0.0043526185,0.023143208,0.011670924
10,4,4,16,full_unit_dropout,dropout,22,0.033551298,0.0059252228,0.092712894,0.051814754
10,4,4,16,full_unit_dropout,dropout,23,0.037061356,0.006182575,0.047275513,0.04609909
10,4,4,16,full_unit_dropout,dropout,24,0.040267635,0.0062717646,0.09685235,0.03006033
10,4,4,16,full_unit_dropout,dropout,25,0.044074357,0.006924108,0.05723677,0.028366197
10,4,4,16,full_unit_dropout,dropout,26,0.048666753,0.007131834,0.0753364,0.05177822
10,4,4,16,full_unit_dropout,dropout,27,0.052746434,0.006996223,0.068194665,0.0496434
10,4,4,16,full_unit_dropout,dropout,28,0.057846546,0.006606278,0.03017431,0.025522608
10,4,4,16,full_unit_dropout,dropout,29,0.061454915,0.005609937,0.10497006,0.064465865
10,4,4,16,full_unit_dropout,dropout,30,0.06385645,0.004975371,0.083841346,0.05344391
10,4,4,16,full_unit_dropout,dropout,31,0.065456405,0.0065492904,0.08308391,0.047907934
10,4,4,16,full_unit_dropout,dropout,32,0.07043302,0.0073767267,0.1037605,0.06940187
10,4,4,16,full_unit_dropout,dropout,33,0.07374011,0.008902514,0.09819345,0.047353286
10,4,4,16,full_unit_dropout,dropout,34,0.074904695,0.009236246,0.10518862,0.0770914
10,4,4,16,full_unit_dropout,dropout,35,0.07772356,0.007467324,0.24395697,0.035000354
10,4,4,16,full_unit_dropout,dropout,36,0.07697899,0.007322416,0.10248941,0.07085517
10,4,4,16,full_unit_dropout,dropout,37,0.07643168,0.008156139,0.18147664,0.0833043
10,4,4,16,full_unit_dropout,dropout,38,0.071552716,0.006511903,0.12116311,0.09243539
10,4,4,16,full_unit_dropout,dropout,39,0.070461586,0.008361483,0.12522922,0.12198969
10,4,4,16,full_unit_dropout,dropout,40,0.071265884,0.009652281,0.16776654,0.09297937
10,4,4,16,full_unit_dropout,dropout,41,0.06889783,0.010706919,0.11851205,0.10478722
10,4,4,16,full_unit_dropout,dropout,42,0.06535721,0.012660335,0.14140387,0.10386865
10,4,4,16,full_unit_dropout,dropout,43,0.062478952,0.014401954,0.10241411,0.09797155
10,4,4,16,full_unit_dropout,dropout,44,0.061307915,0.013647004,0.101266146,0.09129745
10,4,4,16,full_unit_dropout,dropout,45,0.06152714,0.010932873,0.18028197,0.10346143
10,4,4,16,full_unit_dropout,dropout,46,0.044457752,0.015729325,0.09743636,0.100032784
10,4,4,16,full_unit_dropout,dropout,47,0.039618276,0.015795102,0.14839913,0.11351162
10,4,4,16,full_unit_dropout,dropout,48,0.04718228,0.015324754,0.05086323,0.029332329
10,4,4,16,full_unit_dropout,dropout,49,0.044267934,0.012123427,0.10286139,0.08535839
10,4,4,16,full_unit_dropout,dropout,50,0.040483277,0.011761874,0.107027814,0.06897357
10,4,4,16,full_unit_dropout,dropout,51,0.044425707,0.019092847,0.12640104,0.096508525
10,4,4,16,full_unit_dropout,dropout,52,0.046247274,0.018590892,0.24863398,0.15050134
10,4,4,16,full_unit_dropout,dropout,53,0.03884062,0.017436722,0.068732806,0.060631488
10,4,4,16,full_unit_dropout,dropout,54,0.038623564,0.01067505,0.06432155,0.04803567
10,4,4,16,full_unit_dropout,dropout,55,0.033976622,0.008875875,0.10693188,0.07464619
10,4,4,16,full_unit_dropout,dropout,56,0.028114116,0.010429468,0.16846223,0.07492965
10,4,4,16,full_unit_dropout,dropout,57,0.021567713,0.009653252,0.100615665,0.060300305
10,4,4,16,full_unit_dropout,dropout,58,0.019796466,0.009337404,0.08561124,0.07031999
10,4,4,16,full_unit_dropout,dropout,59,0.015728582,0.010610734,0.13733658,0.12377171
10,4,4,16,full_unit_dropout,dropout,60,0.025620038,0.014481862,0.04269771,0.034340706
10,4,4,16,full_unit_dropout,dropout,61,0.027083063,0.018518712,0.11588176,0.08076108
10,4,4,16,full_unit_dropout,dropout,62,0.035687856,0.027358815,0.17815796,0.108723186
10,4,4,16,full_unit_dropout,dropout,63,0.027069468,0.030806446,0.101428345,0.10208681
10,4,4,16,full_unit_dropout,dropout,64,0.018401932,0.023496361,0.10800809,0.04151366
10,4,4,16,full_unit_dropout,dropout,65,0.018518101,0.019472292,0.061028797,0.047912538
10,4,4,16,full_unit_dropout,dropout,66,0.013127869,0.00995487,0.1074576,0.119427465
10,4,4,16,full_unit_dropout,dropout,67,0.013904971,0.015752401,0.0636841,0.056039196
10,4,4,16,full_unit_dropout,dropout,68,0.011303544,0.017287102,0.06667131,0.0580193
10,4,4,16,full_unit_dropout,dropout,69,0.018535918,0.01547497,0.11602794,0.056169648
10,4,4,16,full_unit_dropout,dropout,70,0.015585983,0.013226371,0.07797926,0.03634372
10,4,4,16,full_unit_dropout,dropout,71,0.012835574,0.0102947485,0.062428035,0.052876912
10,4,4,16,full_unit_dropout,dropout,72,0.010152305,0.007238368,0.018474167,0.018246887
10,4,4,16,full_unit_dropout,dropout,73,0.014515847,0.010381164,0.0786496,0.06574223
10,4,4,16,full_unit_dropout,dropout,74,0.013036465,0.008074918,0.11846231,0.09524164
10,4,4,16,full_unit_dropout,dropout,75,0.011778641,0.006796711,0.07704647,0.09924758
10,4,4,16,full_unit_dropout,dropout,76,0.018337559,0.023033494,0.07795056,0.050795153
10,4,4,16,full_unit_dropout,dropout,77,0.015107447,0.009213028,0.0919369,0.05461525
10,4,4,16,full_unit_dropout,dropout,78,0.00790295,0.0044331932,0.08910213,0.065982
10,4,4,16,full_unit_dropout,dropout,79,0.010091007,0.0053229905,0.099433884,0.08182322
10,4,4,16,full_unit_dropout,dropout,80,0.008069652,0.0064444956,0.09944428,0.055393007
10,4,4,16,full_unit_dropout,dropout,81,0.006429374,0.0036453498,0.07232951,0.025142718
10,4,4,16,full_unit_dropout,dropout,82,0.006571281,0.0015349536,0.058632523,0.044900104
10,4,4,16,full_unit_dropout,dropout,83,0.004589486,0.0022195724,0.102187514,0.11302375
10,4,4,16,full_unit_dropout,dropout,84,0.0056305467,0.0011059901,0.07295536,0.04951657
10,4,4,16,full_unit_dropout,dropout,85,0.004566145,0.0036706098,0.092237346,0.04997437
10,4,4,16,full_unit_dropout,dropout,86,0.004175031,0.0018940276,0.051975094,0.033214632
10,4,4,16,full_unit_dropout,dropout,87,0.0103907045,0.011476604,0.09887686,0.05007728
10,4,4,16,full_unit_dropout,dropout,88,0.0053142486,0.0061116293,0.09346369,0.11915534
10,4,4,16,full_unit_dropout,dropout,89,0.0042018653,0.0066100177,0.085871145,0.05695957
10,4,4,16,full_unit_dropout,dropout,90,0.0030815303,0.0013980723,0.043671902,0.018179048
10,4,4,16,full_unit_dropout,dropout,91,0.002536273,0.0023679037,0.06374429,0.08434213
10,4,4,16,full_unit_dropout,dropout,92,0.0048360648,0.0026762136,0.0730449,0.051523782
10,4,4,16,full_unit_dropout,dropout,93,0.0037839294,0.0020699434,0.13186984,0.09796198
10,4,4,16,full_unit_dropout,dropout,94,0.01127637,0.010238004,0.06347968,0.025000019
10,4,4,16,full_unit_dropout,dropout,95,0.0073901536,0.004804641,0.10758688,0.07738318
10,4,4,16,full_unit_dropout,dropout,96,0.008677298,0.009676671,0.045335405,0.039343104
10,4,4,16,full_unit_dropout,dropout,97,0.010142779,0.008802298,0.06411825,0.06013309
10,4,4,16,full_unit_dropout,dropout,98,0.0055738566,0.006590505,0.087727435,0.085745834
10,4,4,16,full_unit_dropout,dropout,99,0.008169246,0.0067348657,0.022101229,0.018821947
10,4,4,16,full_unit_dropout,dropout,100,0.007399219,0.0048550842,0.07949342,0.09720018
10,4,4,16,full_unit_dropout,dropout,101,0.008328294,0.0045356127,0.033981603,0.04179633
10,4,4,16,full_unit_dropout,dropout,102,0.0044474364,0.0031889721,0.048453875,0.04028557
10,4,4,16,full_unit_dropout,dropout,103,0.0054819346,0.0037226502,0.03787918,0.029384745
10,4,4,16,full_unit_dropout,dropout,104,0.010229123,0.011921332,0.089405745,0.07100562
10,4,4,16,full_unit_dropout,dropout,105,0.0054946183,0.0040993183,0.057177734,0.06815219
10,4,4,16,full_unit_dropout,dropout,106,0.00832091,0.007386744,0.062386233,0.03863814
10,4,4,16,full_unit_dropout,dropout,107,0.012132937,0.007324986,0.12297414,0.106988914
10,4,4,16,full_unit_dropout,dropout,108,0.014035177,0.01104411,0.041974917,0.025658134
10,4,4,16,full_unit_dropout,dropout,109,0.011313861,0.0075054336,0.026493028,0.014393087
10,4,4,16,full_unit_dropout,dropout,110,0.008080596,0.0054698675,0.0703402,0.035931554
10,4,4,16,full_unit_dropout,dropout,111,0.009638274,0.009828999,0.05413554,0.048359152
10,4,4,16,full_unit_dropout,dropout,112,0.006925869,0.007763694,0.063265346,0.032920316
10,4,4,16,full_unit_dropout,dropout,113,0.005744624,0.003717846,0.044445418,0.042015728
10,4,4,16,full_unit_dropout,dropout,114,0.006730932,0.0039783283,0.058813892,0.026794344
10,4,4,16,full_unit_dropout,dropout,115,0.01153695,0.015567265,0.10154984,0.08262024
10,4,4,16,full_unit_dropout,dropout,116,0.00802815,0.006472851,0.09432736,0.08976687
10,4,4,16,full_unit_dropout,dropout,117,0.0047797384,0.003143407,0.02358672,0.012542565
10,4,4,16,full_unit_dropout,dropout,118,0.004879856,0.0030057176,0.07751072,0.06955688
10,4,4,16,full_unit_dropout,dropout,119,0.007903492,0.0036243498,0.103916764,0.07610391
10,4,4,16,full_unit_dropout,dropout,120,0.005619824,0.004278454,0.078985035,0.084367946
10,4,4,16,full_unit_dropout,dropout,121,0.0055260123,0.0038514838,0.07277409,0.050683428
10,4,4,16,full_unit_dropout,dropout,122,0.0052715777,0.0035187965,0.059455663,0.052984443
10,4,4,16,full_unit_dropout,dropout,123,0.004406291,0.0019807855,0.044670362,0.03806431
10,4,4,16,full_unit_dropout,dropout,124,0.0046897233,0.0024599184,0.08682568,0.083596244
10,4,4,16,full_unit_dropout,dropout,125,0.0038479208,0.0026978543,0.033203293,0.019643169
10,4,4,16,full_unit_dropout,dropout,126,0.0033481778,0.0016248676,0.03306939,0.020084197
10,4,4,16,full_unit_dropout,dropout,127,0.0072996914,0.0034793857,0.033066094,0.021094048
10,4,4,16,full_unit_dropout,dropout,128,0.01110186,0.010100913,0.03436311,0.017340312
10,4,4,16,full_unit_dropout,dropout,129,0.008209926,0.005970475,0.04823478,0.016035799
10,4,4,16,full_unit_dropout,dropout,130,0.007394987,0.006359679,0.01567497,0.0113222115
10,4,4,16,full_unit_dropout,dropout,131,0.0066238465,0.005329913,0.07786426,0.064604715
10,4,4,16,full_unit_dropout,dropout,132,0.0050135613,0.002695227,0.04173424,0.021113545
10,4,4,16,full_unit_dropout,dropout,133,0.0035176873,0.0013316148,0.03638677,0.044966087
10,4,4,16,full_unit_dropout,dropout,134,0.0028511225,0.001799041,0.07979122,0.0971648
10,4,4,16,full_unit_dropout,dropout,135,0.0076251924,0.0043859114,0.076505475,0.040967055
10,4,4,16,full_unit_dropout,dropout,136,0.015664417,0.01985729,0.12019181,0.09378821
10,4,4,16,full_unit_dropout,dropout,137,0.009496247,0.009629245,0.059432197,0.07764223
10,4,4,16,full_unit_dropout,dropout,138,0.005622685,0.0055877133,0.045222886,0.017942624
10,4,4,16,full_unit_dropout,dropout,139,0.0032032311,0.002018553,0.112337686,0.14294556
10,4,4,16,full_unit_dropout,dropout,140,0.010729646,0.010567161,0.096032366,0.12114748
10,4,4,16,full_unit_dropout,dropout,141,0.008843958,0.008481203,0.06588785,0.060846876
10,4,4,16,full_unit_dropout,dropout,142,0.014085293,0.01405906,0.099956885,0.11477672
10,4,4,16,full_unit_dropout,dropout,143,0.015577334,0.014275018,0.10516838,0.06707066
10,4,4,16,full_unit_dropout,dropout,144,0.0030769766,0.0011973132,0.043955185,0.021629583
10,4,4,16,full_unit_dropout,dropout,145,0.0077588083,0.0061789635,0.04657188,0.030418627
10,4,4,16,full_unit_dropout,dropout,146,0.0061172666,0.0039104987,0.030669887,0.011968514
10,4,4,16,full_unit_dropout,dropout,147,0.0034420073,0.0020398588,0.05057714,0.04892232
10,4,4,16,full_unit_dropout,dropout,148,0.005243069,0.0044392957,0.055963825,0.061262503
10,4,4,16,full_unit_dropout,dropout,149,0.0069721877,0.004441555,0.06033032,0.03229909
10,4,4,16,full_unit_dropout,dropout,150,0.007401383,0.007863849,0.04919336,0.0462247
10,4,4,16,full_unit_dropout,dropout,151,0.0101763485,0.00780038,0.059346575,0.058336385
10,4,4,16,full_unit_dropout,dropout,152,0.0029984056,0.0019466995,0.03661856,0.009995821
10,4,4,16,full_unit_dropout,dropout,153,0.009398389,0.008136175,0.053104334,0.05169601
10,4,4,16,full_unit_dropout,dropout,154,0.0038331747,0.0036071106,0.07428081,0.038757943
10,4,4,16,full_unit_dropout,dropout,155,0.011342764,0.012889429,0.08219577,0.1024758
10,4,4,16,full_unit_dropout,dropout,156,0.008841622,0.013850803,0.08311128,0.10914266
10,4,4,16,full_unit_dropout,dropout,157,0.009635514,0.011439305,0.043836497,0.030681478
10,4,4,16,full_unit_dropout,dropout,158,0.0056432844,0.008129136,0.05235841,0.04753087
10,4,4,16,full_unit_dropout,dropout,159,0.006794208,0.0033883993,0.05878564,0.044194315
10,4,4,16,full_unit_dropout,dropout,160,0.0026945174,0.0010424401,0.06787834,0.07118576
10,4,4,16,full_unit_dropout,dropout,161,0.008964628,0.011113462,0.042819805,0.047563218
10,4,4,16,full_unit_dropout,dropout,162,0.0059479834,0.004473844,0.035382148,0.03591194
10,4,4,16,full_unit_dropout,dropout,163,0.006122315,0.0076026144,0.0500574,0.06985553
10,4,4,16,full_unit_dropout,dropout,164,0.0044724764,0.0025713178,0.05612675,0.04773431
10,4,4,16,full_unit_dropout,dropout,165,0.002200991,0.0011937259,0.037673645,0.019820666
10,4,4,16,full_unit_dropout,dropout,166,0.0043973504,0.0044132513,0.019546013,0.014891527
10,4,4,16,full_unit_dropout,dropout,167,0.0019616247,0.00081495906,0.03484782,0.04685868
10,4,4,16,full_unit_dropout,dropout,168,0.008126408,0.0091832215,0.075437084,0.07687642
10,4,4,16,full_unit_dropout,dropout,169,0.004084098,0.0010878725,0.029676791,0.02450273
10,4,4,16,full_unit_dropout,dropout,170,0.0048058927,0.003174805,0.098006435,0.10013839
10,4,4,16,full_unit_dropout,dropout,171,0.0073712347,0.010504001,0.033664282,0.01527939
10,4,4,16,full_unit_dropout,dropout,172,0.0038266182,0.0025994566,0.0835381,0.079835415
10,4,4,16,full_unit_dropout,dropout,173,0.0043827593,0.0027928974,0.053894848,0.043819595
10,4,4,16,full_unit_dropout,dropout,174,0.0031180023,0.0013859932,0.05515011,0.054108117
10,4,4,16,full_unit_dropout,dropout,175,0.0035969852,0.001995686,0.016261095,0.008390642
10,4,4,16,full_unit_dropout,dropout,176,0.0023015975,0.0017531493,0.1349275,0.07793172
10,4,4,16,full_unit_dropout,dropout,177,0.0033714294,0.0023656243,0.03576579,0.02178428
10,4,4,16,full_unit_dropout,dropout,178,0.0027491034,0.00306736,0.11860154,0.090959415
10,4,4,16,full_unit_dropout,dropout,179,0.004255587,0.0022762376,0.020530855,0.019392801
10,4,4,16,full_unit_dropout,dropout,180,0.0040448187,0.0015246745,0.01886795,0.00967737
10,4,4,16,full_unit_dropout,dropout,181,0.0028136491,0.001588524,0.029367972,0.019908175
10,4,4,16,full_unit_dropout,dropout,182,0.002142918,0.0020237495,0.031519394,0.014939789
10,4,4,16,full_unit_dropout,dropout,183,0.0025003732,0.002306808,0.017087793,0.0142740905
10,4,4,16,full_unit_dropout,dropout,184,0.0035459579,0.0026615534,0.018700868,0.014663855
10,4,4,16,full_unit_dropout,dropout,185,0.01072827,0.0075621805,0.034455724,0.03008053
10,4,4,16,full_unit_dropout,dropout,186,0.004165596,0.0033575252,0.02372815,0.022640817
10,4,4,16,full_unit_dropout,dropout,187,0.004404104,0.004492373,0.04889785,0.061453093
10,4,4,16,full_unit_dropout,dropout,188,0.0035109282,0.0025097819,0.021866238,0.020819556
10,4,4,16,full_unit_dropout,dropout,189,0.0013942241,0.0008754776,0.08722092,0.074611865
10,4,4,16,full_unit_dropout,dropout,190,0.0039826394,0.0027753606,0.045724303,0.048745513
10,4,4,16,full_unit_dropout,dropout,191,0.0077184616,0.008789841,0.03170699,0.015434599
10,4,4,16,full_unit_dropout,dropout,192,0.010221094,0.008633348,0.045494754,0.045105554
10,4,4,16,full_unit_dropout,dropout,193,0.008325678,0.0071260813,0.055101167,0.046940062
10,4,4,16,full_unit_dropout,dropout,194,0.0080217,0.0060591605,0.07945194,0.086738996
10,4,4,16,full_unit_dropout,dropout,195,0.008013087,0.009318859,0.06811569,0.053386286
10,4,4,16,full_unit_dropout,dropout,196,0.012470263,0.0112400185,0.0381183,0.041220937
10,4,4,16,full_unit_dropout,dropout,197,0.009291058,0.008727435,0.07113885,0.105265
10,4,4,16,full_unit_dropout,dropout,198,0.0033429204,0.0027261705,0.049845953,0.051807348
10,4,4,16,full_unit_dropout,dropout,199,0.0045328317,0.0030958387,0.0330239,0.033821233
10,4,4,16,stochastic_depth,dropout,0,0.00045678616,0.00040781085,0.019392049,0.015104335
10,4,4,16,stochastic_depth,dropout,1,0.0012895226,0.00044287872,0.019445026,0.018721176
10,4,4,16,stochastic_depth,dropout,2,0.0012898326,0.00043655926,0.031286597,0.012705336
10,4,4,16,stochastic_depth,dropout,3,0.0015553832,0.0009781019,0.033192717,0.024813972
10,4,4,16,stochastic_depth,dropout,4,0.0018108487,0.00071778626,0.029321337,0.020857625
10,4,4,16,stochastic_depth,dropout,5,0.002419877,0.0005371074,0.041566767,0.023928141
10,4,4,16,stochastic_depth,dropout,6,0.002746117,0.0013575166,0.0354141,0.019384682
10,4,4,16,stochastic_depth,dropout,7,0.0031624795,0.0017225203,0.02893883,0.015812978
10,4,4,16,stochastic_depth,dropout,8,0.0037524223,0.0022601082,0.039427888,0.027871
10,4,4,16,stochastic_depth,dropout,9,0.004189551,0.0029947644,0.04408784,0.023083173
10,4,4,16,stochastic_depth,dropout,10,0.0041514994,0.0036679057,0.056419134,0.032998644
10,4,4,16,stochastic_depth,dropout,11,0.0046038628,0.00365189,0.042963933,0.02004437
10,4,4,16,stochastic_depth,dropout,12,0.0066336393,0.0025523105,0.048778046,0.038439926
10,4,4,16,stochastic_depth,dropout,13,0.00824368,0.0023885418,0.061149288,0.029145723
10,4,4,16,stochastic_depth,dropout,14,0.00928204,0.0031875018,0.0890065,0.025946397
10,4,4,16,stochastic_depth,dropout,15,0.011118805,0.0032608304,0.02820822,0.034548786
10,4,4,16,stochastic_depth,dropout,16,0.014558351,0.0029025683,0.05597254,0.01519403
10,4,4,16,stochastic_depth,dropout,17,0.017148744,0.0030064916,0.06511208,0.02697989
10,4,4,16,stochastic_depth,dropout,18,0.019473279,0.003579043,0.059575666,0.036185253
