D,L,M,M*L,variant,method,Delta_U,Delta_U_std,Delta_V,Delta_V_std,Delta_h,Delta_h_std
10,4,4,16,full_unit_dropout,dropout,0.54463196,0.065015785,0.5859979,0.08265159,0.10979532,0.008180174
10,4,4,16,stochastic_depth,dropout,0.7247991,0.060761668,0.7413605,0.039482106,0.15988782,0.00953822
10,4,4,16,single_source_M,dropout,0.69937533,0.040584654,0.6861671,0.08716061,0.12299608,0.0279901
10,4,8,32,full_unit_dropout,dropout,0.40873092,0.041803114,0.39054438,0.07360815,0.06590326,0.008297957
10,4,8,32,stochastic_depth,dropout,0.552065,0.056535415,0.57602453,0.047649723,0.13932285,0.011126918
10,4,8,32,single_source_M,dropout,0.53770167,0.044400055,0.46987858,0.060209353,0.084324576,0.020778736
10,4,16,64,full_unit_dropout,dropout,0.30507195,0.019570714,0.24834731,0.020315783,0.04736977,0.016009977
10,4,16,64,stochastic_depth,dropout,0.5375164,0.060577076,0.5073403,0.05876705,0.14610964,0.0136657385
10,4,16,64,single_source_M,dropout,0.3448538,0.017020067,0.324831,0.022447217,0.055802308,0.02001812
10,4,32,128,full_unit_dropout,dropout,0.20853595,0.010310872,0.18095921,0.016913552,0.030794626,0.0040643783
10,4,32,128,stochastic_depth,dropout,0.59552896,0.03977231,0.52064085,0.051534604,0.17101438,0.00767055
10,4,32,128,single_source_M,dropout,0.2543756,0.017420253,0.24378559,0.030807761,0.04548383,0.012619205
10,4,64,256,full_unit_dropout,dropout,0.11957081,0.015573794,0.11113665,0.014102897,0.02300005,0.005629015
10,4,64,256,stochastic_depth,dropout,0.53771263,0.053539824,0.5074152,0.04061313,0.15987857,0.014070593
10,4,64,256,single_source_M,dropout,0.13491185,0.013543417,0.12553118,0.013284557,0.027511751,0.011344307
10,4,128,512,full_unit_dropout,dropout,0.07394159,0.0047604716,0.07142611,0.007838104,0.010749381,0.0033688324
10,4,128,512,stochastic_depth,dropout,0.4162016,0.047508456,0.4134561,0.045666263,0.11525905,0.01537243
10,4,128,512,single_source_M,dropout,0.077761725,0.008026878,0.0727445,0.0068259337,0.011326216,0.0045650313
10,4,256,1024,full_unit_dropout,dropout,0.05178854,0.0041536237,0.049036585,0.00455611,0.00952771,0.001955433
10,4,256,1024,stochastic_depth,dropout,0.41858807,0.049772386,0.4146851,0.0584326,0.116643235,0.014172225
10,4,256,1024,single_source_M,dropout,0.05588088,0.0019426995,0.05184397,0.0023928888,0.0068802163,0.0024843307
10,4,512,2048,full_unit_dropout,dropout,0.038298026,0.0029729747,0.035085604,0.0038319693,0.0063328333,0.0018977873
10,4,512,2048,stochastic_depth,dropout,0.4239913,0.044264536,0.42449212,0.053674422,0.11647673,0.011807365
10,4,512,2048,single_source_M,dropout,0.03930195,0.0023371628,0.035442404,0.0015867882,0.005537501,0.0012873323
10,4,1024,4096,full_unit_dropout,dropout,0.028137079,0.0009976627,0.02592354,0.0019154758,0.004923378,0.0010391204
10,4,1024,4096,stochastic_depth,dropout,0.42686266,0.041985348,0.4241554,0.05248338,0.11772108,0.010905508
10,4,1024,4096,single_source_M,dropout,0.028777242,0.0027942266,0.0267786,0.0015215393,0.0043792278,0.0010224672
10,8,4,32,full_unit_dropout,dropout,0.6276674,0.054688584,0.5937185,0.03330308,0.11753376,0.016319072
10,8,4,32,stochastic_depth,dropout,0.6166105,0.066412814,0.6000413,0.08170645,0.14631113,0.042885885
10,8,4,32,single_source_M,dropout,0.6588991,0.058932196,0.5839304,0.10493335,0.14528055,0.03244417
10,8,8,64,full_unit_dropout,dropout,0.42764115,0.026829524,0.34546342,0.019289361,0.053964395,0.009324001
10,8,8,64,stochastic_depth,dropout,0.55139315,0.048582293,0.4988424,0.08060656,0.111673035,0.033128593
10,8,8,64,single_source_M,dropout,0.51778626,0.03904907,0.49763688,0.045417055,0.09184937,0.028962618
10,8,16,128,full_unit_dropout,dropout,0.26464653,0.012570632,0.21003981,0.0052367775,0.05560906,0.020665776
10,8,16,128,stochastic_depth,dropout,0.44621626,0.08357027,0.369598,0.059268333,0.11077782,0.027611807
10,8,16,128,single_source_M,dropout,0.33138022,0.018437402,0.3052389,0.02336166,0.05554691,0.029335264
10,8,32,256,full_unit_dropout,dropout,0.17446858,0.013937034,0.14831014,0.026983455,0.0349664,0.011279523
10,8,32,256,stochastic_depth,dropout,0.41804585,0.06871178,0.35250887,0.055763435,0.12827127,0.025609693
