D,L,M,M*L,variant,method,iteration,test_loss_diff,test_loss_diff_std,train_loss_diff,train_loss_diff_std
10,4,4,16,full_unit_dropout,dropout,0,0.0005386472,0.0004421382,0.015288269,0.0075755217
10,4,4,16,full_unit_dropout,dropout,1,0.001073873,0.0007277051,0.025591398,0.015777057
10,4,4,16,full_unit_dropout,dropout,2,0.00066050293,0.00057436636,0.02259785,0.0070883823
10,4,4,16,full_unit_dropout,dropout,3,0.0011076331,0.00090694526,0.024452746,0.020443203
10,4,4,16,full_unit_dropout,dropout,4,0.0012810349,0.0007781886,0.021133542,0.013269474
10,4,4,16,full_unit_dropout,dropout,5,0.0021660328,0.0010876587,0.013454055,0.0033588563
10,4,4,16,full_unit_dropout,dropout,6,0.0030316948,0.0013481858,0.029514516,0.025320755
10,4,4,16,full_unit_dropout,dropout,7,0.0042625307,0.0010005614,0.017394865,0.012030863
10,4,4,16,full_unit_dropout,dropout,8,0.005292499,0.0013153296,0.05312065,0.011931336
10,4,4,16,full_unit_dropout,dropout,9,0.006042135,0.0019286004,0.028757846,0.01577521
10,4,4,16,full_unit_dropout,dropout,10,0.006389284,0.002221291,0.038303625,0.023664732
10,4,4,16,full_unit_dropout,dropout,11,0.0062938454,0.0020330097,0.053714313,0.032522123
10,4,4,16,full_unit_dropout,dropout,12,0.008714462,0.001500966,0.012839186,0.009474728
10,4,4,16,full_unit_dropout,dropout,13,0.010246456,0.0016734595,0.03390137,0.03383969
10,4,4,16,full_unit_dropout,dropout,14,0.0118070245,0.0018734807,0.04247124,0.021699155
10,4,4,16,full_unit_dropout,dropout,15,0.013597488,0.0020259009,0.047552537,0.02262172
10,4,4,16,full_unit_dropout,dropout,16,0.016169418,0.0020056248,0.043121565,0.031238526
10,4,4,16,full_unit_dropout,dropout,17,0.018461311,0.0027957673,0.047094785,0.018298013
10,4,4,16,full_unit_dropout,dropout,18,0.02098676,0.0030171797,0.05827848,0.022911845
10,4,4,16,full_unit_dropout,dropout,19,0.02344494,0.0033251946,0.044398464,0.020216996
10,4,4,16,full_unit_dropout,dropout,20,0.026132131,0.004199511,0.044210576,0.028926475
10,4,4,16,full_unit_dropout,dropout,21,0.02949499,0.0043526255,0.023143243,0.011670891
10,4,4,16,full_unit_dropout,dropout,22,0.033551265,0.00592523,0.092712864,0.051814754
10,4,4,16,full_unit_dropout,dropout,23,0.03706137,0.0061826236,0.047275506,0.04609911
10,4,4,16,full_unit_dropout,dropout,24,0.040267635,0.0062717646,0.09685238,0.030060349
10,4,4,16,full_unit_dropout,dropout,25,0.044074334,0.0069241235,0.0572368,0.028366197
10,4,4,16,full_unit_dropout,dropout,26,0.048666734,0.0071318257,0.07533642,0.05177824
10,4,4,16,full_unit_dropout,dropout,27,0.052746445,0.00699622,0.06819467,0.049643397
10,4,4,16,full_unit_dropout,dropout,28,0.057846546,0.006606278,0.030174296,0.02552262
10,4,4,16,full_unit_dropout,dropout,29,0.061454922,0.0056099445,0.10497005,0.06446586
10,4,4,16,full_unit_dropout,dropout,30,0.06385644,0.0049753883,0.08384134,0.053443912
10,4,4,16,full_unit_dropout,dropout,31,0.065456375,0.0065492727,0.08308391,0.047907945
10,4,4,16,full_unit_dropout,dropout,32,0.07043302,0.0073767267,0.10376048,0.06940187
10,4,4,16,full_unit_dropout,dropout,33,0.07374011,0.0089025125,0.09819345,0.047353286
10,4,4,16,full_unit_dropout,dropout,34,0.074904695,0.009236237,0.10518861,0.077091426
10,4,4,16,full_unit_dropout,dropout,35,0.077723555,0.0074673244,0.24395697,0.03500033
10,4,4,16,full_unit_dropout,dropout,36,0.07697897,0.0073224264,0.1024894,0.07085517
