D,L,M,M*L,variant,method,Delta_U,Delta_U_std,Delta_V,Delta_V_std,Delta_h,Delta_h_std
10,8,8,64,full_unit_dropout,dropout,0.42729225754737854,0.020062286311916006,0.3435446619987488,0.04594500524364902,0.20049342811107634,0.028182396483602584
10,8,8,64,stochastic_depth,dropout,0.5047621667385102,0.060945652883584,0.45117775201797483,0.05427949834836331,0.30235456228256224,0.08828586055205985
10,8,8,64,single_source_M,dropout,0.5243270695209503,0.05690755173250147,0.453063553571701,0.03996708360188057,0.2615703284740448,0.09887828006445583
10,8,16,128,full_unit_dropout,dropout,0.34374076724052427,0.03476447211486206,0.2596477895975113,0.019291631089146107,0.13368745595216752,0.012442116680863
10,8,16,128,stochastic_depth,dropout,0.4868531584739685,0.08566478236442415,0.37061153054237367,0.034062540533161,0.33367156982421875,0.09120855317783652
10,8,16,128,single_source_M,dropout,0.33944281935691833,0.02441462239317939,0.29666423201560976,0.027090647590229906,0.24337317496538163,0.0972491280478316
10,8,32,256,full_unit_dropout,dropout,0.16769646108150482,0.016383688547907792,0.14424218535423278,0.007134991154952193,0.10016247630119324,0.015246893088140312
10,8,32,256,stochastic_depth,dropout,0.40879570245742797,0.06592966723137653,0.34204057455062864,0.07388860828111923,0.4095350384712219,0.11084150180146894
10,8,32,256,single_source_M,dropout,0.20709068775177003,0.0217648354252136,0.19298949539661409,0.024200999726673184,0.12297950685024261,0.0184939799436057
10,8,64,512,full_unit_dropout,dropout,0.08473600000143051,0.009908008390331324,0.0788339614868164,0.00765247964148733,0.04207915514707565,0.00894319082280982
10,8,64,512,stochastic_depth,dropout,0.27062358856201174,0.03278653849327,0.27951374650001526,0.021502086237061083,0.2808203935623169,0.02478553213414966
10,8,64,512,single_source_M,dropout,0.11046910583972931,0.007245535961316162,0.09960156679153442,0.008314603269927837,0.06997011378407478,0.02214036641528172
10,8,128,1024,full_unit_dropout,dropout,0.06323044002056122,0.006193815769946417,0.05737697035074234,0.003776418362029532,0.03950937278568745,0.016276466117189588
10,8,128,1024,stochastic_depth,dropout,0.31884039640426637,0.02959204831696403,0.2973542153835297,0.019149333469340384,0.27154992818832396,0.054888374081167486
10,8,128,1024,single_source_M,dropout,0.07773612439632416,0.015929312201832465,0.07314797937870025,0.020749356337366246,0.04649514071643353,0.025768459956022026
10,8,256,2048,full_unit_dropout,dropout,0.047497226297855376,0.0071879189077638204,0.04109522104263306,0.003800336668209315,0.02521630618721247,0.01290981297691684
10,8,256,2048,stochastic_depth,dropout,0.28238571286201475,0.011508416235998862,0.28203190565109254,0.02375567924826331,0.23020781576633453,0.0337517703380555
10,8,256,2048,single_source_M,dropout,0.05725958347320557,0.0055615735962258085,0.05235561951994896,0.004722167852296834,0.0287685364484787,0.009394537269052547
10,8,512,4096,full_unit_dropout,dropout,0.034332865849137306,0.002539172419120984,0.029816288128495218,0.0019098870823685032,0.01705974042415619,0.00431342358709256
10,8,512,4096,stochastic_depth,dropout,0.29916511178016664,0.06694962925008359,0.27437847554683686,0.025423158640140702,0.2395975798368454,0.03582141759353733
10,8,512,4096,single_source_M,dropout,0.03846301734447479,0.002475820094454099,0.03642392605543136,0.003065621114884559,0.023776412568986417,0.008215302568070676
10,16,8,128,full_unit_dropout,dropout,0.3214928865432739,0.036960278245188355,0.3073877513408661,0.01888962014277496,0.18665601909160615,0.037475330079441815
10,16,8,128,stochastic_depth,dropout,0.3984616219997406,0.028261350384356832,0.3604171395301819,0.012145780393937435,0.3249081909656525,0.09075524396554308
10,16,8,128,single_source_M,dropout,0.4438217461109161,0.03335971444376249,0.4347273886203766,0.05764044031472267,0.3525686919689178,0.12352355218892917
10,16,16,256,full_unit_dropout,dropout,0.23496372997760773,0.03708912810481844,0.19207397997379302,0.02247505205681861,0.12575726807117463,0.01965046145696406
10,16,16,256,stochastic_depth,dropout,0.3772816836833954,0.0525424679092022,0.3081491649150848,0.07576413272238476,0.3006810754537582,0.11013081824487626
10,16,16,256,single_source_M,dropout,0.27024797201156614,0.02977647121213197,0.24058743119239806,0.0335678380531728,0.23510140180587769,0.12782804395587427
10,16,32,512,full_unit_dropout,dropout,0.10637838691473007,0.009186588973736982,0.10170978903770447,0.007003486035083753,0.07012459114193917,0.0230381808467685
10,16,32,512,stochastic_depth,dropout,0.24900103211402894,0.03550834927925155,0.2287324607372284,0.046459916542444385,0.2517376407980919,0.0897718145107082
10,16,32,512,single_source_M,dropout,0.14528409540653228,0.013600113434871325,0.1419227108359337,0.011361071081196463,0.10253391861915588,0.022823533842838632
10,16,64,1024,full_unit_dropout,dropout,0.07299768775701523,0.010937790546436623,0.06287741884589196,0.005420071062727465,0.03630964308977127,0.007359826306302495
10,16,64,1024,stochastic_depth,dropout,0.20402538776397705,0.03376101038562793,0.1821897029876709,0.0460000349078248,0.15637900084257125,0.06391750722902113
10,16,64,1024,single_source_M,dropout,0.1090315267443657,0.009808295702154942,0.09375211447477341,0.015277192514714641,0.09572401046752929,0.0407749728306865
10,16,128,2048,full_unit_dropout,dropout,0.05664578974246979,0.007377049097711036,0.0465719573199749,0.006825290604128027,0.03217383660376072,0.018633438010736737
10,16,128,2048,stochastic_depth,dropout,0.2444452613592148,0.03173431694317308,0.2000735342502594,0.03012113217666417,0.14540826827287673,0.0344404539666441
10,16,128,2048,single_source_M,dropout,0.08392733931541443,0.011796556517899116,0.07448993399739265,0.01631172050426617,0.05041052848100662,0.025111793031863058
10,16,256,4096,full_unit_dropout,dropout,0.040669579058885574,0.0062535560898777905,0.03383227400481701,0.0025331188719693695,0.024149338155984877,0.009320583926285035
10,16,256,4096,stochastic_depth,dropout,0.19591757655143738,0.009598609638882195,0.19453181326389313,0.008912543172614707,0.17341006100177764,0.014667361798590881
10,16,256,4096,single_source_M,dropout,0.059798090159893035,0.009850476488164315,0.05183620452880859,0.008451571216912004,0.03148670829832554,0.013944952564483056
10,16,512,8192,full_unit_dropout,dropout,0.028264664858579636,0.003495411054707673,0.024468829110264777,0.0027271666598773,0.016062148660421372,0.00635292390984034
10,16,512,8192,stochastic_depth,dropout,0.21128388047218322,0.03723325908835994,0.18627793788909913,0.029085317668765837,0.1742212399840355,0.05200601032713727
10,16,512,8192,single_source_M,dropout,0.040670809149742124,0.004794158706342774,0.03914475739002228,0.004994005301153249,0.03149408213794232,0.00492486195963445
10,32,8,256,full_unit_dropout,dropout,0.2742301642894745,0.02466556619452477,0.2652725487947464,0.03822988791955232,0.2018607050180435,0.05835519846152873
10,32,8,256,stochastic_depth,dropout,0.3243132412433624,0.03256698355207718,0.3203039050102234,0.05288355413508559,0.3202586740255356,0.09977735970011654
10,32,8,256,single_source_M,dropout,0.3534465491771698,0.06824363688405752,0.35026405453681947,0.08626996590799926,0.34031465351581575,0.12787992020216782
10,32,16,512,full_unit_dropout,dropout,0.14446956813335418,0.027951413022940956,0.14316474050283431,0.031820717053876416,0.09190382212400436,0.017192165054245784
10,32,16,512,stochastic_depth,dropout,0.18917683959007264,0.03095952277072575,0.18867120444774627,0.043332343547850774,0.18300559222698212,0.06293178274816008
10,32,16,512,single_source_M,dropout,0.1979427456855774,0.037490089741916796,0.182732093334198,0.042438415714689655,0.18157356679439546,0.09923211303428438
10,32,32,1024,full_unit_dropout,dropout,0.09700874388217925,0.013892376688359642,0.08719772547483444,0.01075667956475165,0.05436806492507458,0.025128331021514218
10,32,32,1024,stochastic_depth,dropout,0.18606345653533934,0.008814513254498198,0.1635280966758728,0.03133263451108143,0.1528989240527153,0.06185140584303282
10,32,32,1024,single_source_M,dropout,0.14661054015159608,0.02133823330703159,0.12949536740779877,0.012197539926078142,0.08852434754371644,0.019166018016177695
10,32,64,2048,full_unit_dropout,dropout,0.05761479586362839,0.007940952835652966,0.05076654702425003,0.005271506070183363,0.03749892339110374,0.012826252100442652
10,32,64,2048,stochastic_depth,dropout,0.16585922837257386,0.04907884504890389,0.14342369735240937,0.03606706689553875,0.10409345626831054,0.030032516957511985
10,32,64,2048,single_source_M,dropout,0.11795378178358078,0.014887550729456646,0.09603361636400223,0.018048909924811986,0.09230716228485107,0.060872180165737
10,32,128,4096,full_unit_dropout,dropout,0.04359109103679657,0.004876258343472406,0.03592883422970772,0.004860003036384434,0.02194164264947176,0.01058946624203261
10,32,128,4096,stochastic_depth,dropout,0.1776854068040848,0.02487375398673682,0.15534513145685197,0.03131425566176186,0.14462968707084656,0.07077224982577435
10,32,128,4096,single_source_M,dropout,0.08941269963979721,0.016199861097816386,0.0800564743578434,0.020138443670247416,0.058370796218514445,0.03556267838361016
10,32,256,8192,full_unit_dropout,dropout,0.028882587701082228,0.004067722966120594,0.023670556768774987,0.0016335233085442485,0.018561776168644427,0.010223377402954509
10,32,256,8192,stochastic_depth,dropout,0.1704009145498276,0.023643020825160475,0.15700362324714662,0.026633148945659182,0.15323809683322906,0.04057903337001701
10,32,256,8192,single_source_M,dropout,0.05464738160371781,0.007204270164821702,0.04712236300110817,0.007992527748716,0.029112827591598035,0.014086349749338433
10,32,512,16384,full_unit_dropout,dropout,0.01937216743826866,0.001289757611505298,0.016496189497411252,0.0011429891264683114,0.010848740208894014,0.004269061602434164
10,32,512,16384,stochastic_depth,dropout,0.15065253376960755,0.02797877974446098,0.125504931807518,0.025562448709734682,0.09330978989601135,0.03805716227530089
10,32,512,16384,single_source_M,dropout,0.038667036592960356,0.006799502722799494,0.037659308314323424,0.006744135591092854,0.03461162596940994,0.006423653062746994
10,64,8,512,full_unit_dropout,dropout,0.24353430569171905,0.025340064323435746,0.24680954217910767,0.03327190468853334,0.2121509626507759,0.07386924062519566
10,64,8,512,stochastic_depth,dropout,0.25050664842128756,0.046493485047132375,0.26377540826797485,0.052722027096651074,0.23242706060409546,0.04787610851513822
10,64,8,512,single_source_M,dropout,0.31744802594184873,0.05878831494289966,0.3264549940824509,0.05938284472802319,0.385742661356926,0.13827320644537183
10,64,16,1024,full_unit_dropout,dropout,0.13310567438602447,0.020200211243055037,0.121013143658638,0.01667063114520515,0.08412682339549064,0.024999076856627417
10,64,16,1024,stochastic_depth,dropout,0.15806873738765717,0.019455063034024184,0.13611704707145691,0.008343626859711276,0.1028335377573967,0.02222466321275795
