D,L,M,M*L,variant,method,Delta_U,Delta_U_std,Delta_V,Delta_V_std,Delta_h,Delta_h_std
10,4,4,16,full_unit_dropout,dropout,0.5446321,0.06501581,0.5859979,0.082651615,0.10979532,0.008180172
10,4,4,16,stochastic_depth,dropout,0.72479916,0.060761742,0.7413605,0.03948211,0.15988782,0.009538212
10,4,4,16,single_source_M,dropout,0.69937533,0.04058464,0.6861671,0.087160595,0.12299609,0.027990106
10,4,8,32,full_unit_dropout,dropout,0.3979729,0.044598497,0.39314833,0.04892336,0.077000834,0.018927038
10,4,8,32,stochastic_depth,dropout,0.5373066,0.058247622,0.560346,0.040834177,0.1378294,0.020538766
10,4,8,32,single_source_M,dropout,0.45845252,0.038788613,0.42746648,0.063262925,0.07348065,0.017812552
10,4,16,64,full_unit_dropout,dropout,0.38892946,0.08585189,0.28819317,0.036230903,0.048695743,0.016104534
10,4,16,64,stochastic_depth,dropout,0.5496764,0.07837956,0.5339243,0.030904809,0.14455257,0.018770361
10,4,16,64,single_source_M,dropout,0.3390323,0.01434644,0.31335872,0.029768743,0.053595185,0.0209058
10,4,32,128,full_unit_dropout,dropout,0.21464515,0.013867001,0.18338414,0.022982081,0.028654253,0.004176524
10,4,32,128,stochastic_depth,dropout,0.5540478,0.064693905,0.5158881,0.027165703,0.17233904,0.014691263
10,4,32,128,single_source_M,dropout,0.23100722,0.019355346,0.2147479,0.02456745,0.032590717,0.008019667
10,4,64,256,full_unit_dropout,dropout,0.12572077,0.009682301,0.11905774,0.0084976675,0.022177886,0.004950825
10,4,64,256,stochastic_depth,dropout,0.45095587,0.03361653,0.46197668,0.02038385,0.13760372,0.014224202
10,4,64,256,single_source_M,dropout,0.14253691,0.005993956,0.13152544,0.0073650805,0.02369615,0.006347059
10,4,128,512,full_unit_dropout,dropout,0.07152419,0.0090241525,0.07026442,0.009881399,0.010688979,0.004346228
10,4,128,512,stochastic_depth,dropout,0.34314102,0.050949637,0.34583408,0.04047286,0.08401944,0.01676176
10,4,128,512,single_source_M,dropout,0.07466582,0.0065601105,0.07251789,0.0064866673,0.0099632945,0.0023537602
10,4,256,1024,full_unit_dropout,dropout,0.054434605,0.00639405,0.05275289,0.0063332426,0.0085171,0.0033311257
10,4,256,1024,stochastic_depth,dropout,0.37994608,0.036791787,0.3793427,0.036991965,0.08530483,0.0141592845
10,4,256,1024,single_source_M,dropout,0.051244326,0.001181214,0.05136314,0.0006550689,0.0065030707,0.0012312139
10,4,512,2048,full_unit_dropout,dropout,0.036266368,0.0029758646,0.033458717,0.0029854623,0.0054373667,0.00073688565
10,4,512,2048,stochastic_depth,dropout,0.35601622,0.05952457,0.35417014,0.033732288,0.089276165,0.0088493265
10,4,512,2048,single_source_M,dropout,0.04031927,0.004384052,0.03706614,0.0036244183,0.005835554,0.0017019201
10,4,1024,4096,full_unit_dropout,dropout,0.026197338,0.002118943,0.02406101,0.001403825,0.0035271037,0.0011646042
10,4,1024,4096,stochastic_depth,dropout,0.37150034,0.04786196,0.38824183,0.060954947,0.10424516,0.03325887
10,4,1024,4096,single_source_M,dropout,0.02802265,0.0013750391,0.02543502,0.0013466006,0.0039824657,0.0014132361
10,8,4,32,full_unit_dropout,dropout,0.60419065,0.034116693,0.5949379,0.033645447,0.11128968,0.016183252
10,8,4,32,stochastic_depth,dropout,0.60410464,0.044799156,0.60248935,0.083069675,0.12779476,0.009660505
10,8,4,32,single_source_M,dropout,0.629604,0.02436528,0.54587334,0.031104,0.1394233,0.023064217
10,8,8,64,full_unit_dropout,dropout,0.42729226,0.02006228,0.34354466,0.045945004,0.06340159,0.008912057
10,8,8,64,stochastic_depth,dropout,0.5047622,0.060945638,0.45117778,0.054279495,0.0956129,0.027918441
10,8,8,64,single_source_M,dropout,0.5243271,0.056907542,0.45306355,0.03996706,0.082715794,0.031268053
10,8,16,128,full_unit_dropout,dropout,0.34374076,0.03476447,0.2596478,0.019291624,0.042275686,0.003934544
10,8,16,128,stochastic_depth,dropout,0.48685312,0.08566481,0.37061155,0.03406255,0.10551622,0.028842682
10,8,16,128,single_source_M,dropout,0.33944282,0.024414629,0.2966642,0.02709064,0.07696135,0.030752873
10,8,32,256,full_unit_dropout,dropout,0.16769646,0.016383693,0.14424218,0.007134995,0.031674158,0.0048214905
10,8,32,256,stochastic_depth,dropout,0.40879574,0.06592967,0.34204054,0.0738886,0.12950635,0.035051167
10,8,32,256,single_source_M,dropout,0.20709069,0.021764833,0.1929895,0.024200998,0.038889535,0.0058483104
10,8,64,512,full_unit_dropout,dropout,0.084736004,0.009908007,0.07883396,0.007652482,0.013306598,0.002828085
10,8,64,512,stochastic_depth,dropout,0.2706236,0.03278654,0.27951378,0.021502078,0.08880321,0.007837875
10,8,64,512,single_source_M,dropout,0.1104691,0.007245538,0.09960156,0.008314602,0.022126492,0.0070013986
10,8,128,1024,full_unit_dropout,dropout,0.06323044,0.0061938157,0.05737697,0.003776418,0.012493961,0.00514707
10,8,128,1024,stochastic_depth,dropout,0.3188404,0.029592065,0.29735422,0.01914934,0.08587164,0.017357225
10,8,128,1024,single_source_M,dropout,0.077736124,0.015929315,0.073147975,0.020749357,0.014703053,0.008148702
10,8,256,2048,full_unit_dropout,dropout,0.04749723,0.00718792,0.04109522,0.0038003358,0.007974096,0.004082441
10,8,256,2048,stochastic_depth,dropout,0.28238568,0.011508423,0.2820319,0.023755679,0.072798096,0.010673244
10,8,256,2048,single_source_M,dropout,0.057259582,0.005561574,0.052355625,0.0047221687,0.00909741,0.0029708135
10,8,512,4096,full_unit_dropout,dropout,0.034332868,0.002539174,0.029816289,0.0019098873,0.0053947633,0.0013640242
10,8,512,4096,stochastic_depth,dropout,0.2991651,0.06694963,0.27437848,0.025423152,0.07576741,0.011327728
10,8,512,4096,single_source_M,dropout,0.03846302,0.0024758212,0.03642393,0.0030656217,0.0075187623,0.002597907
10,8,1024,8192,full_unit_dropout,dropout,0.02515831,0.0030553765,0.022133697,0.0029393793,0.004208043,0.0016135861
10,8,1024,8192,stochastic_depth,dropout,0.24858184,0.016507939,0.25772572,0.017579578,0.08296962,0.012508962
10,8,1024,8192,single_source_M,dropout,0.030314218,0.0032653823,0.02577309,0.0021218106,0.005342106,0.0022725055
10,16,4,64,full_unit_dropout,dropout,0.586622,0.013430439,0.553589,0.034281846,0.09060755,0.019936066
10,16,4,64,stochastic_depth,dropout,0.5652438,0.03637237,0.516125,0.07083204,0.087575115,0.017525746
10,16,4,64,single_source_M,dropout,0.63774794,0.029761365,0.60583127,0.03074232,0.12828596,0.027972456
10,16,8,128,full_unit_dropout,dropout,0.32149288,0.036960267,0.30738774,0.01888962,0.059025813,0.011850742
10,16,8,128,stochastic_depth,dropout,0.3984616,0.028261373,0.3604172,0.012145794,0.10274498,0.02869933
10,16,8,128,single_source_M,dropout,0.44382173,0.033359695,0.43472737,0.05764045,0.111492015,0.039061576
10,16,16,256,full_unit_dropout,dropout,0.23496373,0.037089124,0.19207399,0.02247505,0.03976794,0.006214023
10,16,16,256,stochastic_depth,dropout,0.3772817,0.052542485,0.30814916,0.07576414,0.0950837,0.03482642
10,16,16,256,single_source_M,dropout,0.27024797,0.029776467,0.2405874,0.033567827,0.07434559,0.04042277
10,16,32,512,full_unit_dropout,dropout,0.10637839,0.009186589,0.10170978,0.007003483,0.022175344,0.0072853127
10,16,32,512,stochastic_depth,dropout,0.24900103,0.03550835,0.22873247,0.046459917,0.07960643,0.028388342
10,16,32,512,single_source_M,dropout,0.1452841,0.013600116,0.1419227,0.011361072,0.03242407,0.007217434
10,16,64,1024,full_unit_dropout,dropout,0.072997674,0.010937789,0.06287742,0.0054200734,0.011482117,0.0023273814
10,16,64,1024,stochastic_depth,dropout,0.20402539,0.033761,0.1821897,0.046000037,0.04945138,0.02021249
10,16,64,1024,single_source_M,dropout,0.10903152,0.009808291,0.093752116,0.015277194,0.030270591,0.012894179
10,16,128,2048,full_unit_dropout,dropout,0.056645792,0.0073770485,0.04657196,0.0068252906,0.0101742605,0.00589241
10,16,128,2048,stochastic_depth,dropout,0.24444525,0.031734318,0.20007353,0.030121133,0.045982134,0.010891028
10,16,128,2048,single_source_M,dropout,0.08392733,0.011796553,0.074489936,0.016311718,0.015941208,0.007941046
10,16,256,4096,full_unit_dropout,dropout,0.040669583,0.006253558,0.033832274,0.0025331185,0.007636691,0.0029474276
10,16,256,4096,stochastic_depth,dropout,0.19591758,0.00959861,0.19453183,0.008912539,0.054837078,0.004638229
10,16,256,4096,single_source_M,dropout,0.05979809,0.009850473,0.051836204,0.008451573,0.009956972,0.004409781
10,16,512,8192,full_unit_dropout,dropout,0.028264666,0.0034954112,0.024468828,0.0027271667,0.005079298,0.0020089713
10,16,512,8192,stochastic_depth,dropout,0.21128388,0.03723326,0.18627793,0.029085318,0.055093594,0.016445745
10,16,512,8192,single_source_M,dropout,0.040670812,0.004794159,0.039144758,0.0049940045,0.009959303,0.0015573781
10,16,1024,16384,full_unit_dropout,dropout,0.019414857,0.0026233236,0.017031427,0.0024554254,0.0035496368,0.0014093918
10,16,1024,16384,stochastic_depth,dropout,0.19925089,0.024879713,0.19365074,0.027318954,0.06489481,0.027240831
10,16,1024,16384,single_source_M,dropout,0.030786466,0.0049187928,0.025398618,0.003485599,0.0062673017,0.0023054518
10,32,4,128,full_unit_dropout,dropout,0.6265256,0.029179763,0.716891,0.02991763,0.0966482,0.02169337
10,32,4,128,stochastic_depth,dropout,0.6257316,0.05728393,0.7254504,0.06677594,0.1109601,0.02532293
10,32,4,128,single_source_M,dropout,0.68297565,0.056483075,0.75067395,0.039828464,0.14525037,0.027143406
10,32,8,256,full_unit_dropout,dropout,0.27423018,0.024665559,0.26527256,0.038229886,0.06383396,0.018453535
10,32,8,256,stochastic_depth,dropout,0.32431325,0.032566987,0.32030392,0.052883554,0.10127469,0.031552374
10,32,8,256,single_source_M,dropout,0.35344657,0.06824365,0.35026407,0.08626996,0.107616946,0.040439185
10,32,16,512,full_unit_dropout,dropout,0.14446956,0.02795142,0.14316474,0.03182072,0.029062543,0.00543664
10,32,16,512,stochastic_depth,dropout,0.18917683,0.030959534,0.18867122,0.043332335,0.05787145,0.019900778
10,32,16,512,single_source_M,dropout,0.19794275,0.03749009,0.18273208,0.042438418,0.057418603,0.031379953
10,32,32,1024,full_unit_dropout,dropout,0.09700874,0.013892372,0.08719773,0.010756677,0.017192693,0.007946276
10,32,32,1024,stochastic_depth,dropout,0.18606345,0.0088145165,0.16352811,0.031332634,0.048350893,0.019559136
10,32,32,1024,single_source_M,dropout,0.14661054,0.021338236,0.12949535,0.012197538,0.027993858,0.006060826
10,32,64,2048,full_unit_dropout,dropout,0.057614796,0.00794095,0.050766546,0.005271506,0.011858201,0.0040560174
10,32,64,2048,stochastic_depth,dropout,0.16585922,0.049078844,0.1434237,0.03606707,0.03291724,0.009497116
10,32,64,2048,single_source_M,dropout,0.11795379,0.014887554,0.09603362,0.01804891,0.029190088,0.019249473
10,32,128,4096,full_unit_dropout,dropout,0.04359109,0.004876257,0.035928834,0.0048600035,0.006938557,0.003348683
10,32,128,4096,stochastic_depth,dropout,0.17768541,0.02487375,0.15534513,0.031314258,0.045735925,0.022380153
10,32,128,4096,single_source_M,dropout,0.089412704,0.016199863,0.08005647,0.020138443,0.018458467,0.011245906
10,32,256,8192,full_unit_dropout,dropout,0.028882587,0.004067724,0.023670558,0.0016335226,0.005869749,0.0032329157
10,32,256,8192,stochastic_depth,dropout,0.1704009,0.023643022,0.15700363,0.026633145,0.04845814,0.012832219
10,32,256,8192,single_source_M,dropout,0.05464738,0.00720427,0.047122367,0.007992528,0.009206285,0.004454495
10,32,512,16384,full_unit_dropout,dropout,0.019372169,0.0012897594,0.016496189,0.0011429896,0.0034306732,0.0013499958
10,32,512,16384,stochastic_depth,dropout,0.15065253,0.027978783,0.12550494,0.025562448,0.029507145,0.012034731
10,32,512,16384,single_source_M,dropout,0.038667034,0.006799503,0.037659306,0.0067441366,0.010945158,0.0020313372
10,32,1024,32768,full_unit_dropout,dropout,0.013846946,0.0014784349,0.011652942,0.00096638035,0.0021089881,0.0007118914
10,32,1024,32768,stochastic_depth,dropout,0.16440459,0.02995291,0.1325962,0.015431549,0.030044924,0.007963607
10,32,1024,32768,single_source_M,dropout,0.032494582,0.0068598785,0.02647357,0.004852051,0.0066760443,0.0022098357
10,64,4,256,full_unit_dropout,dropout,0.6327775,0.036005314,0.7179192,0.040530752,0.09933603,0.018300008
10,64,4,256,stochastic_depth,dropout,0.6393307,0.032324206,0.7317065,0.048872273,0.11003337,0.029426526
10,64,4,256,single_source_M,dropout,0.64718467,0.048360843,0.70010245,0.038234368,0.16059206,0.01980753
10,64,8,512,full_unit_dropout,dropout,0.2435343,0.02534007,0.24680953,0.033271905,0.06708802,0.023359505
10,64,8,512,stochastic_depth,dropout,0.25050664,0.04649348,0.2637754,0.05272203,0.073499896,0.015139756
10,64,8,512,single_source_M,dropout,0.31744805,0.058788314,0.32645503,0.05938284,0.12198255,0.043725826
10,64,16,1024,full_unit_dropout,dropout,0.13310568,0.020200208,0.12101315,0.016670631,0.026603237,0.007905403
10,64,16,1024,stochastic_depth,dropout,0.15806873,0.019455066,0.13611704,0.008343629,0.032518823,0.0070280572
10,64,16,1024,single_source_M,dropout,0.22423048,0.05592972,0.19197766,0.04637371,0.07142326,0.035870835
10,64,32,2048,full_unit_dropout,dropout,0.087625585,0.01008175,0.07870233,0.0075570415,0.016672771,0.0065305796
10,64,32,2048,stochastic_depth,dropout,0.14937432,0.024355626,0.12437196,0.01830612,0.02504602,0.012476304
10,64,32,2048,single_source_M,dropout,0.15011194,0.025345527,0.13020976,0.019357894,0.025617227,0.008478481
10,64,64,4096,full_unit_dropout,dropout,0.04219795,0.0043587736,0.036085404,0.0031959966,0.008596634,0.0033465049
10,64,64,4096,stochastic_depth,dropout,0.12745403,0.044011332,0.101376235,0.03188475,0.023569439,0.010795653
10,64,64,4096,single_source_M,dropout,0.11746828,0.013064175,0.09846006,0.015421567,0.03139433,0.020773744
10,64,128,8192,full_unit_dropout,dropout,0.036921743,0.0059979795,0.030277938,0.0055613783,0.0059080147,0.0022987416
10,64,128,8192,stochastic_depth,dropout,0.1379238,0.023951355,0.1100896,0.019948568,0.029756,0.009676054
10,64,128,8192,single_source_M,dropout,0.086174324,0.021170398,0.076416396,0.024811275,0.018442553,0.011666181
10,64,256,16384,full_unit_dropout,dropout,0.019923385,0.0020425671,0.01674898,0.0013656071,0.0040296265,0.0016666992
10,64,256,16384,stochastic_depth,dropout,0.12557057,0.024794756,0.10053382,0.01828292,0.03214572,0.013669888
10,64,256,16384,single_source_M,dropout,0.049918808,0.008273208,0.042884402,0.009054795,0.009973027,0.0035069434
10,64,512,32768,full_unit_dropout,dropout,0.015005994,0.0013355946,0.0127642695,0.0013809372,0.0030267667,0.0010917675
10,64,512,32768,stochastic_depth,dropout,0.11259352,0.021653289,0.092984006,0.017402317,0.022050787,0.013784988
10,64,512,32768,single_source_M,dropout,0.038694195,0.006475253,0.037431497,0.0062917722,0.009695413,0.003278053
10,64,1024,65536,full_unit_dropout,dropout,0.010544596,0.0020049924,0.008858148,0.0011772399,0.002612288,0.0019366525
10,64,1024,65536,stochastic_depth,dropout,0.13397357,0.032081537,0.10758116,0.024728216,0.029908288,0.013187589
10,64,1024,65536,single_source_M,dropout,0.032102697,0.008912638,0.027014453,0.007002404,0.008170163,0.0044915495
10,128,4,512,full_unit_dropout,dropout,0.6216914,0.020442579,0.6918148,0.018823372,0.115012705,0.019510966
10,128,4,512,stochastic_depth,dropout,0.61555207,0.020639978,0.67401844,0.024347672,0.11456643,0.027341517
10,128,4,512,single_source_M,dropout,0.60847276,0.057473402,0.6864208,0.04926822,0.15002477,0.022548132
10,128,8,1024,full_unit_dropout,dropout,0.2424433,0.028562756,0.24158005,0.033644423,0.04800172,0.011391377
10,128,8,1024,stochastic_depth,dropout,0.24623016,0.039054498,0.23633656,0.034113236,0.049915075,0.006999931
10,128,8,1024,single_source_M,dropout,0.3507866,0.07082812,0.33000314,0.06768166,0.11045088,0.050743487
10,128,16,2048,full_unit_dropout,dropout,0.11892499,0.018680207,0.10877554,0.013010415,0.025182877,0.0072819935
10,128,16,2048,stochastic_depth,dropout,0.12820001,0.023725254,0.11673522,0.014703457,0.03215431,0.011925314
10,128,16,2048,single_source_M,dropout,0.20570704,0.05273885,0.16636679,0.03450779,0.053101886,0.035066575
10,128,32,4096,full_unit_dropout,dropout,0.073922776,0.008031913,0.07095231,0.008824384,0.013315472,0.005661047
10,128,32,4096,stochastic_depth,dropout,0.11634836,0.018888228,0.10202316,0.011811286,0.025883878,0.0074899998
10,128,32,4096,single_source_M,dropout,0.13557692,0.022437615,0.12282501,0.021054793,0.023385594,0.009966553
10,128,64,8192,full_unit_dropout,dropout,0.033359975,0.003904676,0.027693098,0.0021945774,0.006136657,0.0015238554
10,128,64,8192,stochastic_depth,dropout,0.0965298,0.01932691,0.075535975,0.01472543,0.02254973,0.008958528
10,128,64,8192,single_source_M,dropout,0.10747373,0.024737803,0.092531346,0.023949126,0.029216012,0.02023495
10,128,128,16384,full_unit_dropout,dropout,0.031302888,0.005878104,0.025872946,0.003816156,0.005445877,0.001239241
10,128,128,16384,stochastic_depth,dropout,0.095691875,0.018218858,0.080088586,0.01841794,0.021488357,0.011068077
10,128,128,16384,single_source_M,dropout,0.09331824,0.020204926,0.08029782,0.02027228,0.027428132,0.016022999
10,128,256,32768,full_unit_dropout,dropout,0.015178661,0.0011151091,0.012384577,0.0011467502,0.003317741,0.0011251498
10,128,256,32768,stochastic_depth,dropout,0.09187657,0.016897902,0.07245666,0.010738216,0.025994206,0.008727912
10,128,256,32768,single_source_M,dropout,0.04593689,0.010783522,0.039082326,0.010087779,0.007711661,0.0028373853
10,128,512,65536,full_unit_dropout,dropout,0.012295525,0.0012615853,0.010482414,0.0010796102,0.0024389657,0.00061298785
10,128,512,65536,stochastic_depth,dropout,0.09318914,0.024335505,0.07674831,0.01643518,0.025833894,0.01224075
10,128,512,65536,single_source_M,dropout,0.038413987,0.0029562584,0.036041338,0.004967784,0.008849005,0.0033087677
10,128,1024,131072,full_unit_dropout,dropout,0.0079967715,0.0013760644,0.0064215274,0.0007151323,0.0019298581,0.0008941629
10,128,1024,131072,stochastic_depth,dropout,0.092559375,0.0108046355,0.07297047,0.008448458,0.021162484,0.005455647
10,128,1024,131072,single_source_M,dropout,0.033460803,0.009336577,0.028258646,0.0066754012,0.0070916414,0.004795403
10,256,4,1024,full_unit_dropout,dropout,0.6337229,0.044100184,0.69494027,0.008928706,0.11663356,0.016712524
10,256,4,1024,stochastic_depth,dropout,0.6234657,0.031731132,0.67419606,0.013907319,0.12422923,0.034118675
10,256,4,1024,single_source_M,dropout,0.6557559,0.10721885,0.7254879,0.09813521,0.15005997,0.021756073
10,256,8,2048,full_unit_dropout,dropout,0.26206845,0.024458503,0.2536502,0.029033177,0.047266897,0.010913922
10,256,8,2048,stochastic_depth,dropout,0.25371194,0.024988785,0.24502745,0.02766253,0.04534118,0.010634333
10,256,8,2048,single_source_M,dropout,0.35610977,0.07456482,0.33785868,0.07252769,0.10848479,0.051931407
10,256,16,4096,full_unit_dropout,dropout,0.10895069,0.014561074,0.10536541,0.009919946,0.022534639,0.0046927296
10,256,16,4096,stochastic_depth,dropout,0.11959462,0.01975678,0.10847676,0.011775345,0.028506368,0.0055786073
10,256,16,4096,single_source_M,dropout,0.19436881,0.046048168,0.16936842,0.032573003,0.057396956,0.03421122
10,256,32,8192,full_unit_dropout,dropout,0.07305105,0.0066057947,0.071515776,0.0055573992,0.010336914,0.0019803264
10,256,32,8192,stochastic_depth,dropout,0.09357489,0.015002946,0.0821154,0.0088157365,0.01858211,0.0077706925
10,256,32,8192,single_source_M,dropout,0.15969658,0.03849719,0.14584634,0.03716376,0.028631529,0.018438334
10,256,64,16384,full_unit_dropout,dropout,0.022756174,0.0035044495,0.01962139,0.0021443057,0.0038172125,0.0016061526
10,256,64,16384,stochastic_depth,dropout,0.06506434,0.008713873,0.05539257,0.0057490743,0.018488282,0.007604962
10,256,64,16384,single_source_M,dropout,0.09539898,0.026749978,0.08540781,0.027108056,0.018862206,0.015247679
